Sample,Date,Time,Time.out,Depth,Location,Site,Status,Latitude,Longitude,Inc_prob,Deployment.notes,Waypoint,Left.mem.card,Right.mem.card,Left.cam,Right.cam,Field.notes,Raw.hdd.number,Con.hdd.number,Observer,Maxn.complete.yyyymmdd,Maxn.checker,Successful.count,Length.analyst,Length.complete.date.yyyymmdd,Successful.length,Habitat.image.forward,Extra.Vid,Analysis.notes
7_6,23/06/2021,12:47,13:50,166,Huon AMP,7,IV,-43.97088191,147.2975606,0.000336593,,,,,1262,1263,,,,NFH,,,Y,NFH,,Y,Y,,n/a
8_1,23/06/2021,12:55,14:01,69,Huon AMP,8,IV,-43.61576451,147.2199363,0.819928,,,,,1280,1281,,,,NFH,,,Y,NFH,,Y,Y,,Butterfly Perch and Scaber sp. galore
8_2,11/07/2021,8:32,,64,Huon AMP,8,IV,-43.61576043,147.2220477,0.819928,,,,,1278,1279,,,,NFH,,,N,NFH,,N ,Y,NFH,DIFFERENT FRAME RATES
8_3,11/07/2021,8:37,,56,Huon AMP,8,IV,-43.61211456,147.2233539,0.819928,,,,,1260,1261,,,,NFH,,,Y,NFH,,Y,Y,,Giant spider crab at maxn
8_4,11/07/2021,8:27,,55,Huon AMP,8,IV,-43.61460528,147.2244188,0.819928,,,,,1276,1277,,,,NFH,,,Y,NFH,,Y,Y,,Camera were tilt halfway
8_5,11/07/2021,8:43,,55,Huon AMP,8,IV,-43.61402586,147.226528,0.819928,,,,,1258,1259,,,,NFH,,,Y,NFH,,Y,Y,,"Butterfly Perch, leatherjackets, barbata galore"
8_6,11/07/2021,8:48,,48,Huon AMP,8,IV,-43.61268463,147.2259951,0.819928,,,,,1262,1263,,,,NFH,,,Y,NFH,,Y,Y,,"Scored on the left CAM - rosy wrasse, butterfly perch galore"
9_1,11/07/2021,8:22,,66,Huon AMP,9,IV,-43.6141545,147.2184647,0.819928,,,,,1280,1281,,,,NFH,,,Y,NFH,,Y,Y,,"Scored on the left CAM - splendid perch, butterfly perch and crayfish"
9_2,11/07/2021,12:15,,63,Huon AMP,9,IV,-43.61402358,147.2205339,0.819928,,,,,1258,1259,,,,NFH,,,Y,NFH,,Y,Y,,"Cool video - Red bait crab, blue-lined goatfish, crayfish, barbata and more diff sp. "
9_3,11/07/2021,12:01,,60,Huon AMP,9,IV,-43.61173517,147.2212412,0.819928,,,,,1280,1281,,,,NFH,,,Y,NFH,,Y,N,,n/a - camera both face a bit upright 
9_4,11/07/2021,12:33,,56,Huon AMP,9,IV,-43.61390657,147.2234805,0.819928,,,,,1262,1263,,,,NFH,,,Y,NFH, ,Y,Y,,"Beautiful reef - cool video of diff species - Barbata , Red bait Crab, Crayfish "
9_5,11/07/2021,12:02,,55,Huon AMP,9,IV,-43.61000477,147.22361,0.819928,screens on on retreival check settings,,,,1276,1277,,,,NFH,,,Y,NFH,,Y,Y,,Beautiful reef - cool video of diff species - Crayfish galore
9_6,11/07/2021,12:29,,46,Huon AMP,9,IV,-43.61156634,147.2262916,0.819928,,,,,1260,1261,,,,NFH,,,Y,NFH,,Y,Y,,beautiful reef
10_1,11/07/2021,12:25,,85,Huon AMP,10,IV,-43.62572845,147.2236682,0.15424,,,,,1278,1279,,,,Ashlee B,,,Y,Ashlee B,,Y,Y,,n.a
10_2,21/06/2021,8:35,9:38,84,Huon AMP,10,IV,-43.62878231,147.2308071,0.15424,,,,,1280,1281,,,,Ashlee B,,,Y,Ashlee B,,Y,Y,,n.a
10_3,21/06/2021,9:12,10:18,83,Huon AMP,10,IV,-43.62629431,147.2284218,0.15424,,,,,1262,1261,,,,Ashlee B,,,Y,Ashlee B,,N ,Y,,"DIFFERENT FRAME RATES, only scored left camera"
10_4,21/06/2021,9:04,10:06,82,Huon AMP,10,IV,-43.62666822,147.2331748,0.15424,,,,,1261,1260,,,,Ashlee B,,,Y,Ashlee B,,Y,Y,,n.a
10_5,21/06/2021,15:27,16:49,75,Huon AMP,10,IV,-43.62379623,147.231052,0.15424,No Light repeated; Repeat Good,,,,1260,1261,,,,Ashlee B,,,Y,Ashlee B,,Y,Y,,LIGHT FLICKERING and not well lit for most of video. good vid of scaber eating fish (marked)
10_6,21/06/2021,8:55,9:57,72,Huon AMP,10,IV,-43.62341697,147.2289389,0.15424,,,,,1258,1259,,,,Ashlee B,,,Y,Ashlee B,,Y,Y,,na.
11_1,8/07/2021,12:49,,99,Huon AMP,11,IV,-43.65778761,147.2924561,0.0254953,,,,,1280,1281,,,,Ashlee B,,,Y,Ashlee B,,Y,Y,,video at 37min 30 sec botttom time (of giant spider crab)
11_2,8/07/2021,12:39,,95,Huon AMP,11,IV,-43.65664451,147.2895454,0.0254953,,,,,1276,1277,,,,Ashlee B,,,Y,Ashlee B,,Y,Y,,n.a
11_3,8/07/2021,12:57,,95,Huon AMP,11,IV,-43.65626659,147.2924896,0.0254953,,,,,1260,1261,,,,Ashlee B,,,Y,Ashlee B,,Y,Y,,n/a
11_4,8/07/2021,14:34,,95,Huon AMP,11,IV,-43.65452989,147.291648,0.0254953,"repeated site of one cam failure on first drop, Facing up after 25min BT",,,,1278,1279,,,,Ashlee B,,,Y,Ashlee B,,Y,Y,,n/a
11_5,8/07/2021,12:52,,92,Huon AMP,11,IV,-43.66003296,147.2901688,0.0254953,,,,,1262,1263,,,,,,,N,,,N,N,,No footage
11_6,8/07/2021,15:35,,89,Huon AMP,11,IV,-43.65875309,147.2898196,0.15424,"repeat of upward facing drop, Sideways scire Right Camera 1261",,,,1260,1261,,,,Ashlee B,,,Y,,,Y,Y,,"switched cameras around for scoring, camera scored does weird morphing thing. cool vid of octopus"
12_1,21/06/2021,14:03,15:12,76,Huon AMP,12,IV,-43.64992414,147.2657623,0.000336593,,,,,1260,1261,,,,Ashlee B,,,Y,,,Y,Y,,video best at laticeps or scaber maxn
12_2,21/06/2021,14:21,15:45,68,Huon AMP,12,IV,-43.65326121,147.2612173,0.819928,1281 recorded at 60fps,,,,1280,1281,,,,Ashlee B,,,Y,,,Y,Y,,n/a
12_3,21/06/2021,14:08,13:37,67,Huon AMP,12,IV,-43.65461332,147.2621236,0.819928,Flips Upside down,,,,1258,1259,,,,Ashlee B, ,,Y,,,Y,Y,,n/a
12_4,21/06/2021,14:14,13:41,67,Huon AMP,12,IV,-43.65268342,147.2623252,0.819928,Facing up,,,,1278,1279,,,,Ashlee B,,,Y,,,Y,Y,,n.a
12_5,21/06/2021,14:34,15:55,67,Huon AMP,12,IV,-43.64982494,147.264162,0.819928,,,,,1276,1277,,,,Ashlee B,,,Y,,,Y,Y,,switched cameras around for scoring.
12_6,21/06/2021,13:57,15:04,66,Huon AMP,12,IV,-43.65320479,147.2604637,0.819928,,,,,1262,1263,,,,Ashlee B,,,Y,,,Y,Y,,n.a
13_1,8/07/2021,11:00,,92,Huon AMP,13,IV,-43.64952036,147.2160983,0.0254953,,,,,1278,1279,,,,Ashlee B,,,Y,,,Y,Y,,n/a
13_2,8/07/2021,14:44,,87,Huon AMP,13,IV,-43.64836534,147.2184708,0.15424,repeat of cam failure,,,,1276,1277,,,,Ashlee B,,,Y,,,N ,Y,,"measurements out by 2-5cm,  not sure why. only scored left camera, barbata with parasite"
13_3,8/07/2021,11:07,,80,Huon AMP,13,IV,-43.6466345,147.2211052,0.15424,Score Right Cam 1281,,,,1280,1281,,,,Ashlee B,,,Y,,,N,Y,,only has left camera
13_4,8/07/2021,10:55,,80,Huon AMP,13,IV,-43.64497247,147.2180852,0.15424,,,,,1262,1263,,,,Ashlee B,,,Y,,,Y,Y,,leatherjacket trying to eat the camera
13_5,8/07/2021,11:17,,74,Huon AMP,13,IV,-43.64490772,147.2216269,0.15424,Score Right 1277 Sponge in Left Cam,,,,1276,1277,,,,Ashlee B,,,Y,,,Y,Y,,n.a
13_6,8/07/2021,11:11,,73,Huon AMP,13,IV,-43.64661274,147.2174387,0.15424,,,,,1258,1259,,,,Ashlee B,,,Y,,,N ,Y,,"1 unknown species, only scored left camera because it flips and is impossible to get measurements"
14_1,9/07/2021,14:52,,156,Huon AMP,14,IV,-43.83160322,147.354129,0.000336593,"New location to use bruv at end of day 43 deg 39.673mins, 147 deg 15.118 mins",,,,1262,1263,,,,Ashlee B,,,Y,,,Y,Y,,n/a
14_2,24/06/2021,8:15,9:21,155,Huon AMP,14,IV,-43.82738897,147.3527798,0.000336593,,,,,1258,1259,,,,Ashlee B,,,Y,,,Y,Y,,n/a
14_3,24/06/2021,8:19,9:26,155,Huon AMP,14,IV,-43.82470702,147.3519695,0.000336593,"Can't see bottom, Bruv sitting on rock",,,,1280,1281,,,,Ashlee B,,,Y,,,Y,Y,,n/a
14_4,24/06/2021,8:10,9:16,154,Huon AMP,14,IV,-43.82640127,147.3620438,0.000336593,"Can't see bottom, Bruv sitting on rock",,,,1278,1279,,,,Ashlee B,,,Y,,,N,Y,,"unable to play right side video, issue with first section of video"
14_5,24/06/2021,8:05,9:10,153,Huon AMP,14,IV,-43.82449386,147.3588542,0.000336593,,,,,1262,1263,,,,Ashlee B,,,Y,,,Y,Y,,n/a
14_6,24/06/2021,8:25,9:33,153,Huon AMP,14,IV,-43.82602614,147.3593931,0.000336593,,,,,1260,1261,,,,,,,N,,,N ,N,,NONE of the videos are loading into EM properly
15_1,24/06/2021,8:00,9:06,69,Huon AMP,15,IV,-43.62148278,147.2371141,0.819928,,,,,1276,1277,,,,Ashlee B,,,Y,,,Y,Y,,n/a
15_2,11/07/2021,14:01,,69,Huon AMP,15,IV,-43.61727666,147.231027,0.819928,,,,,1278,1279,,,,Ashlee B,,,Y,,,Y,Y,,n/a
15_3,11/07/2021,14:01,,66,Huon AMP,15,IV,-43.61784709,147.2334047,0.819928,,,,,1276,1277,,,,Ashlee B,,,N,,,N,Y,,1 unknown shark DIFFERENT FRAME RATES
15_4,11/07/2021,14:15,,66,Huon AMP,15,IV,-43.61726751,147.2355139,0.819928,,,,,1258,1259,,,,Ashlee B,,,Y,,,Y,Y,,n/a
15_5,11/07/2021,13:57,,65,Huon AMP,15,IV,-43.62225847,147.2328938,0.819928,,,,,1262,1263,,,,Ashlee B,,,Y,,,N,Y,,"DIFFERENT FRAME RATES, at start of each section of gopro video left camera freezez causing it to go out of sync"
15_6,11/07/2021,14:19,,65,Huon AMP,15,IV,-43.61918828,147.2339377,0.819928,,,,,1280,1281,,,,Ashlee B,,,Y,,,Y,Y,,n/a
16_1,11/07/2021,14:05,,138,Huon AMP,16,IV,-43.75655693,147.0213482,0.000336593,,,,,1260,1261,,,,Ashlee B,,,Y,,,Y,Y,,"butterfly gurnard, octopus"
16_2,22/06/2021,10:43,10:47,138,Huon AMP,16,IV,-43.75291429,147.017908,0.000336593,1281 recorded at 60fps,,,,1280,1281,,,,Ashlee B,,,Y,,,Y,Y,,n/a
16_3,22/06/2021,10:37,10:42,137,Huon AMP,16,IV,-43.75789859,147.0242587,0.000336593,,,,,1278,1279,,,,Ashlee B,   ,,Y,,,Y,Y,,massive group of macropterus
16_4,22/06/2021,10:33,10:36,137,Huon AMP,16,IV,-43.7508047,147.0200236,0.000336593,,,,,1258,1259,,,,ashlee B,,,Y,,,Y,Y,,octopus slowly crawling across screen most of video
16_5,22/06/2021,10:51,12:00,137,Huon AMP,16,IV,-43.75003693,147.0239911,0.000336593,,,,,1260,1261,,,,Ashlee B,,,Y,,,Y,Y,,"one fish that can be ID, already checked with jac/justin"
16_6,22/06/2021,10:48,11:55,136,Huon AMP,16,IV,-43.75559719,147.0261096,0.000336593,,,,,1262,1263,,,,Ashlee B,,,Y,,,N,Y,,only right side camera
17_1,22/06/2021,10:55,12:59,113,Huon AMP,17,IV,-43.69893561,147.0094678,0.000336593,Wrong number on board 23-4 should be 23-6,,,,1276,1277,,,,Ashlee B,,,Y,,,Y,Y,,n/a
17_2,9/07/2021,10:03,,111,Huon AMP,17,IV,-43.6966344,147.0115817,0.000336593,,,,,1276,1277,,,,Ashlee B,,,Y,,,Y,Y,,weird rabbit sponge 
17_3,9/07/2021,14:01,,110,Huon AMP,17,IV,-43.69471635,147.016074,0.000336593,"repeat of cam fail, Failed cam on solid reef repeat on Mixed reef/sand",,,,1259,1258,,,,Ashlee B,,,Y,,,Y,Y,,n/a
17_4,9/07/2021,10:35,,108,Huon AMP,17,IV,-43.69644291,147.0086746,0.000336593,,,,,1278,1279,,,,Ashlee B,,,Y,,,Y,Y,,seahorse
17_5,9/07/2021,10:45,,105,Huon AMP,17,IV,-43.69510045,147.0110528,0.000336593,,,,,1262,1263,,,,Ashlee B,,,Y,,,Y,Y,,n/a
17_6,9/07/2021,10:19,,101,Huon AMP,17,IV,-43.69490898,147.0076172,0.0254953,,,,,1258,1259,,,,Ashlee B,,,Y,,,Y,Y,,n/a
18_1,9/07/2021,10:04,,68,Huon AMP,18,IV,-43.60771945,147.2154208,0.819928,,,,,1280,1281,,,,Ashlee B,,,Y,,,N,Y,,DIFFERENT FRAME RATES
18_2,10/07/2021,8:47,,68,Huon AMP,18,IV,-43.60809846,147.2177972,0.819928,,,,,1258,1259,,,,,,,N,,,N,N,,
18_3,10/07/2021,8:35,,66,Huon AMP,18,IV,-43.61001041,147.2207071,0.819928,,,,,1278,1279,,,,Ashlee B,,,Y,,,Y,Y,,n/a
18_4,10/07/2021,8:03,,64,Huon AMP,18,IV,-43.60866967,147.2199105,0.819928,Claper board has 1261-1263 should be 1262-1263,,,,1262,1263,,,,Ashlee B,,,Y,,,Y,Y,,best video would be at 53min 
18_5,10/07/2021,8:42,,63,Huon AMP,18,IV,-43.60634733,147.2171063,0.819928,,,,,1260,1261,,,,Ashlee B,,,Y,,,Y,Y,,n/a
18_6,10/07/2021,9:02,,62,Huon AMP,18,IV,-43.60694542,147.2191125,0.819928,81 has front screen on..,,,,1260,1281,,,,Ashlee B,,,Y,,,Y,Y,,giant spider crab at maxn
19_1,10/07/2021,8:56,,94,Huon AMP,19,IV,-43.65678543,147.2795818,0.0254953,,,,,1277,1278,,,,Ashlee B,,,Y,,,Y,Y,,n/a
19_2,23/06/2021,14:45,15:52,82,Huon AMP,19,IV,-43.6596713,147.2756334,0.15424,,,,,1280,1281,,,,Ashlee B,,,Y,,,Y,Y,,"very pretty video, funny vid at P. gigas and Laticep maxn"
19_3,23/06/2021,14:39,15:43,81,Huon AMP,19,IV,-43.65525514,147.2785328,0.15424,,,,,1258,1259,,,,Ashlee B,,,Y,,,Y,Y,,n/a
19_4,23/06/2021,14:49,15:58,81,Huon AMP,19,IV,-43.65851633,147.277477,0.15424,,,,,1262,1263,,,,Ashlee B,,,Y,,,Y,Y,,switched cameras around for scoring. 
19_5,23/06/2021,14:44,15:56,78,Huon AMP,19,IV,-43.65578314,147.2815035,0.15424,,,,,1278,1279,,,,Ashlee B,,,Y,,,Y,Y,,n/a
19_6,23/06/2021,14:36,15:40,76,Huon AMP,19,IV,-43.65637023,147.2754134,0.15424,,,,,1260,1261,,,,Ashlee B,,,Y,,,Y,Y,,1 unknown 
20_1,23/06/2021,14:59,15:03,90,Huon AMP,20,IV,-43.6593977,147.2610339,0.0254953,,,,,1276,1277,,,,Ashlee B,,,Y,,,Y,Y,,59min 55 sec BT
20_2,8/07/2021,14:18,,87,Huon AMP,20,IV,-43.65844376,147.2589168,0.15424,,,,,1279,1278,,,,Ashlee B,,,Y,,,Y,Y,,stargazer in extra time
20_3,8/07/2021,14:24,,87,Huon AMP,20,IV,-43.65902377,147.2568064,0.15424,Flips sideways as 12min BT Score Right Cam 1261,,,,1260,1261,,,,Ashlee B,,,Y,,,Y,Y,,"switched cameras for scoring, check laticeps measurement"
20_4,8/07/2021,14:03,,82,Huon AMP,20,IV,-43.65613976,147.2602274,0.15424,upside down but ok vision,,,,1262,1263,,,,Ashlee B,,,Y,,,Y,Y,,unknown leather jacket
20_5,8/07/2021,14:39,,76,Huon AMP,20,IV,-43.65961807,147.254923,0.15424,Facing up at 6min BT,,,,1258,1259,,,,Ashlee B,,,Y,,,Y,Y,,switched cameras around for scoring. 
20_6,8/07/2021,14:34,,68,Huon AMP,20,IV,-43.65768507,147.255216,0.819928,upside down @7min BT but ok vision,,,,1280,1281,,,,Ashlee B,,,Y,,,Y,Y,,n.a
20_7,8/07/2021,14:44,,71,Huon AMP,20,IV,-43.661217,147.251967,,lights off when retrieved,,,,1276,1277,,,,Ashlee B,,,Y,,,Y,Y,,1 unknown species.
21_1,11/07/2021,10:38,,69,Huon AMP,21,IV,-43.63811098,147.2619978,0.819928,,,,,1276,1277,,,,Ashlee B,,,Y,,,Y,Y,,n/a
21_2,11/07/2021,10:32,,66,Huon AMP,21,IV,-43.63619286,147.2622535,0.819928,No Data form 1279 File empty,,,,1278,1279,,,,Ashlee B,,,N,,,N ,Y,,DIFFERENT FRAME RATES
21_3,11/07/2021,10:43,,64,Huon AMP,21,IV,-43.63790762,147.2670134,0.819928,,,,,1258,1259,,,,Ashlee B,,,Y,,,Y,Y,,very dark video 
21_4,11/07/2021,10:28,,51,Huon AMP,21,IV,-43.63618432,147.2659497,0.819928,Facing Large Rock,,,,1260,1261,,,,Ashlee B,,,Y,,,N ,Y,,"measurements out by 2-3 cm, only scored left camera"
21_5,11/07/2021,10:23,,48,Huon AMP,21,IV,-43.63600893,147.2588205,0.819928,,,,,1262,1263,,,,Ashlee B,,,Y,,,Y,Y,, Pseudopallene ambigua 
21_6,11/07/2021,10:48,,35,Huon AMP,21,IV,-43.63351137,147.2609218,0.819928,,,,,1280,1281,,,,Ashlee B,,,Y,,,Y,Y,,9 unknown species. switched cameras around for scoring. 
22_1,10/07/2021,14:07,,108,Huon AMP,22,IV,-43.68631303,147.0411109,0.000336593,,,,,1276,1277,,,,Ashlee B,,,Y,,,Y,Y,,"2 unknown, huge school of fish"
22_2,10/07/2021,14:01,,108,Huon AMP,22,IV,-43.68631447,147.0368831,0.000336593,some water in housing. Check,,,,1278,1279,,,,Ashlee B,,,Y,,,Y,Y,,n/a
22_3,10/07/2021,11:55,,107,Huon AMP,22,IV,-43.68516204,147.0424313,0.000336593,,,,,1260,1261,,,,Ashlee B,,,Y,,,Y,Y,,n/a
22_4,10/07/2021,11:48,,106,Huon AMP,22,IV,-43.68669555,147.0437536,0.000336593,,,,,1262,1263,,,,Ashlee B,,,Y,,,Y,Y,,"1 unknown pipefish, cool vid of cuttefish trying to eat a barbata and others"
22_5,10/07/2021,14:14,,104,Huon AMP,22,IV,-43.68305187,147.0448078,0.0254953,,,,,1258,1259,,,,Ashlee B,,,Y,,,Y,Y,,n/a
22_6,10/07/2021,14:22,,103,Huon AMP,22,IV,-43.68612211,147.0387327,0.0254953,,,,,1280,1281,,,,Ashlee B,,,Y,,,Y,Y,,n/a
23_1,24/06/2021,11:40,12:50,157,Huon AMP,23,IV,-43.96164231,147.5263511,0.000336593,,,,,1260,1261,,,,Ashlee B,,,N,,,N ,Y,,not synced waiting for it to be fixed
