System.number,Sample,Latitude,Longitude,Date,Time,Local.time,Site,Location,Status,Zone,Depth,Observer,Successful.count,Successful.length,Habitat.Length.analyst,Habitat.length.complete.date,Video.notes,Left.cam,Right.cam,Rear.cam,Raw.hdd.number,Con.hdd.number,Forwards.habitat.image.saved,Forwards.habitat.image.annotated,Backwards.habitat.image.saved,Backwards.habitat.image.annotated,Maxn.analyst,Maxn.complete.yyyymmdd,Maxn.checker,Length.analyst,Length.complete.date.yyyymmdd,Notes
3,INV-BV-05,-34.03111308,120.9263512,2022-11-03,2022-11-03 03:20:04,2022-11-03 11:20:04,Investigator Island,South-west Corner,No-take,National Park Zone,58.9,,,,,,32 not recording on retrieve (did not record at all - no right camera),31,32,21,BU1,,Yes,Henry,Yes,Molly,,,,,,
4,INV-BV-47,-34.02156811,120.8984851,2022-11-03,2022-11-03 03:29:08,2022-11-03 11:29:08,Investigator Island,South-west Corner,No-take,National Park Zone,55.5,,No,No,Kat,2022-01-30,,33,34,22,BU1,,No,N/A,Yes,N/A,,,,,,
5,INV-BV-28,-34.01881825,120.9464186,2022-11-03,2022-11-03 03:45:42,2022-11-03 11:45:42,Investigator Island,South-west Corner,No-take,National Park Zone,51.4,,,,,,,35,36,23,BU1,,Yes,Henry,Yes,Molly,,,,,,
6,INV-BV-03,-34.02375,120.95625,2022-11-03,2022-11-03 03:51:28,2022-11-03 11:51:28,Investigator Island,South-west Corner,No-take,National Park Zone,60.7,,,,,,,38,37,24,BU1,,Yes,Henry,Yes,Molly,,,,,,
7,INV-BV-60,-34.00636381,120.9662883,2022-11-03,2022-11-03 04:00:57,2022-11-03 12:00:57,Investigator Island,South-west Corner,No-take,National Park Zone,59.1,,,,,,,39,40,25,BU1,,Yes,Henry,Yes,Molly,,,,,,
8,INV-BV-27,-34.00131032,120.9309073,2022-11-03,2022-11-03 04:11:58,2022-11-03 12:11:58,Investigator Island,South-west Corner,No-take,National Park Zone,48.8,,,,,,,41,42,26,BU1,,Yes,Henry,Yes,Molly,,,,,,
1,INV-BV-53,-33.99632242,120.9440016,2022-11-03,2022-11-03 06:23:39,2022-11-03 14:23:39,Investigator Island,South-west Corner,No-take,National Park Zone,51.7,,,,Kat,2022-01-30,,27,28,19,BU1,,Yes,Henry,Yes,Molly,,,,,,
2,INV-BV-44,-33.99618368,120.9237852,2022-11-03,2022-11-03 06:31:31,2022-11-03 14:31:31,Investigator Island,South-west Corner,No-take,National Park Zone,50.2,,,,Kat,2022-01-30,,29,30,20,BU1,,Yes,Henry,Yes,Molly,,,,,,
3,INV-BV-17,-33.99125,120.90875,2022-11-03,2022-11-03 06:37:22,2022-11-03 14:37:22,Investigator Island,South-west Corner,No-take,National Park Zone,50,,,,Kat,2022-01-30,,31,32,21,BU1,,Yes,Henry,Yes,Molly,,,,,,
4,INV-BV-22,-33.9763802,120.9337514,2022-11-03,2022-11-03 06:49:04,2022-11-03 14:49:04,Investigator Island,South-west Corner,No-take,National Park Zone,47.3,,,,Kat,2022-01-30,,33,34,22,BU1,,Yes,Henry,Yes,Molly,,,,,,
5,CP1,-33.96517671,120.9360327,2022-11-03,2022-11-03 06:59:11,2022-11-03 14:59:11,Investigator Island,South-west Corner,No-take,National Park Zone,27.9,,,,,,"Showed camera INV-BV-35, lost for 2 days running. Surrounded by seaweed",35,36,23,BU1,,No,N/A,Yes,N/A,,,,,,
6,CP2,-33.96610615,120.9326288,2022-11-03,2022-11-03 07:01:54,2022-11-03 15:01:54,Investigator Island,South-west Corner,No-take,National Park Zone,43.6,,,,,,Showed camera INV-BV-55,38,37,24,BU1,,Yes,Henry,Yes,Molly,,,,,,
7,CP3,-33.96994272,120.9004951,2022-11-03,2022-11-03 07:15:42,2022-11-03 15:15:42,Investigator Island,South-west Corner,No-take,National Park Zone,49.8,,,,,,,39,40,25,BU1,,Yes,Henry,Yes,Molly,,,,,,
8,CP4,-33.97750151,120.9150978,2022-11-03,2022-11-03 07:25:03,2022-11-03 15:25:03,Investigator Island,South-west Corner,No-take,National Park Zone,46.7,,,,,,,41,42,26,BU1,,Yes,Henry,Yes,Molly,,,,,,
1,INV-BV-35,-33.9513702,120.9730724,2022-11-04,2022-11-04 01:42:33,2022-11-04 09:42:33,Investigator Island,South-west Corner,No-take,National Park Zone,44.8,,,,,,,27,28,19,BU1,,Yes,Henry,Yes,Molly,,,,,,
2,INV-BV-55,-33.94625,120.95375,2022-11-04,2022-11-04 01:49:02,2022-11-04 09:49:02,Investigator Island,South-west Corner,No-take,National Park Zone,41,,,,,,,29,30,20,BU1,,Yes,Henry,Yes,Molly,,,,,,
3,INV-BV-26,-33.9438414,120.9713517,2022-11-04,2022-11-04 01:56:21,2022-11-04 09:56:21,Investigator Island,South-west Corner,No-take,National Park Zone,45.5,,,,,,,31,32,21,BU1,,Yes,Henry,Yes,Molly,,,,,,
4,INV-BV-09,-33.93625,120.98375,2022-11-04,2022-11-04 02:03:40,2022-11-04 10:03:40,Investigator Island,South-west Corner,No-take,National Park Zone,41.3,,No,No,,,Facing up - no habitat image or fishnclips saved,33,34,22,BU1,,No,N/A,Yes,N/A,,,,,,
6,INV-BV-66,-33.92904866,120.9838657,2022-11-04,2022-11-04 02:08:59,2022-11-04 10:08:59,Investigator Island,South-west Corner,No-take,National Park Zone,36.8,,No,No,,,Left side only - no right film,37,38,24,BU1,,No,N/A,Yes,Molly,,,,,,
7,INV-BV-51,-33.92622075,120.9988784,2022-11-04,2022-11-04 02:15:43,2022-11-04 10:15:43,Investigator Island,South-west Corner,No-take,National Park Zone,44.2,,,,,,,40,39,25,BU1,,Yes,Henry,Yes,Molly,,,,,,
8,INV-BV-24,-33.92866816,121.0312282,2022-11-04,2022-11-04 02:27:35,2022-11-04 10:27:35,Investigator Island,South-west Corner,No-take,National Park Zone,46.3,,,,,,,42,41,26,BU1,,Yes,Henry,Yes,Molly,,,,,,
1,INV-BV-40,-33.92379219,121.0414815,2022-11-04,2022-11-04 03:55:52,2022-11-04 11:55:52,Investigator Island,South-west Corner,No-take,National Park Zone,45.1,,No,No,,,Facing up - no habitat image or fishnclips saved,27,28,19,BU1,,No,N/A,No,N/A,,,,,,
2,INV-BV-02,-33.92375,121.05875,2022-11-04,2022-11-04 04:01:53,2022-11-04 12:01:53,Investigator Island,South-west Corner,No-take,National Park Zone,38.4,,,,,,,29,30,20,BU1,,Yes,Henry,Yes,Molly,,,,,,
3,INV-BV-48,-33.93625,121.06125,2022-11-04,2022-11-04 04:08:35,2022-11-04 12:08:35,Investigator Island,South-west Corner,No-take,National Park Zone,39.7,,,,,,,31,32,21,BU1,,Yes,Henry,Yes,Molly,,,,,,
4,INV-BV-29,-33.95375,121.04625,2022-11-04,2022-11-04 04:17:15,2022-11-04 12:17:15,Investigator Island,South-west Corner,No-take,National Park Zone,57.7,,,,,,,33,34,22,BU1,,Yes,Henry,Yes,Molly,,,,,,
6,INV-BV-42,-33.9486914,121.026183,2022-11-04,2022-11-04 04:25:06,2022-11-04 12:25:06,Investigator Island,South-west Corner,No-take,National Park Zone,58.6,,,,,,,37,38,24,,,Yes,Henry,Yes,Molly,,,,,,FWD Habitat: Unsure about the one remaining unidentified point (Green algae?)
7,INV-BV-57,-33.95625,121.02375,2022-11-04,2022-11-04 04:29:20,2022-11-04 12:29:20,Investigator Island,South-west Corner,No-take,National Park Zone,60.2,,,,,,,40,39,25,,,Yes,Henry,Yes,Molly,,,,,,
8,INV-BV-69,-33.95376898,121.0163822,2022-11-04,2022-11-04 04:34:18,2022-11-04 12:34:18,Investigator Island,Eastern Recherche,No-take,National Park Zone,57.4,,,,,,,42,41,26,,,Yes,Henry,Yes,Molly,,,,,,
