Period,Date,Time,Location,Depth,Site,Status,IUCN,Latitude,Longitude,Camera.model,Primary.contact,Secondary.contact,Funder,Grant no. ,Observer,Successful.count,Successful.length,Ecosystem
Z_33,20220512,8:38,Zeehan AMP,115,Z_33,Fished,IUCN VI,-39.861781,143.24501,GoPro Hero10,neville.barrett@utas.edu.au,jacquomo.monk@utas.edu.au,Parks Australia,DMP-MPA-2122-038,LV,Y,Y,Mixed Rariphotic shelf reefs & Shelf unvegetated sediments
Z_34,20220505,13:18,Zeehan AMP,106,Z_34,Fished,IUCN VI,-39.938728,143.45456,GoPro Hero10,neville.barrett@utas.edu.au,jacquomo.monk@utas.edu.au,Parks Australia,DMP-MPA-2122-038,TD,Y,Y,Shelf unvegetated sediments
Z_35,20220509,8:18,Zeehan AMP,102,Z_35,Fished,IUCN VI,-39.834757,143.44474,GoPro Hero10,neville.barrett@utas.edu.au,jacquomo.monk@utas.edu.au,Parks Australia,DMP-MPA-2122-038,LV,Y,Y,Mixed Rariphotic shelf reefs & Shelf unvegetated sediments
Z_36,20220513,13:33,Zeehan AMP,108,Z_36,Fished,IUCN VI,-39.927989,143.31824,GoPro Hero10,neville.barrett@utas.edu.au,jacquomo.monk@utas.edu.au,Parks Australia,DMP-MPA-2122-038,AB,Y,Y,Shelf unvegetated sediments
Z_37,,,Zeehan AMP,104,Z_37,Fished,IUCN VI,-39.914214,143.50145,GoPro Hero10,neville.barrett@utas.edu.au,jacquomo.monk@utas.edu.au,Parks Australia,DMP-MPA-2122-038,,N,N,
Z_38,20220511,8:14,Zeehan AMP,105,Z_38,Fished,IUCN VI,-39.825456,143.3541,GoPro Hero10,neville.barrett@utas.edu.au,jacquomo.monk@utas.edu.au,Parks Australia,DMP-MPA-2122-038,LV,Y,Y,Mixed Rariphotic shelf reefs & Shelf unvegetated sediments
Z_39,20220513,8:10,Zeehan AMP,109,Z_39,Fished,IUCN VI,-39.893221,143.31251,GoPro Hero10,neville.barrett@utas.edu.au,jacquomo.monk@utas.edu.au,Parks Australia,DMP-MPA-2122-038,LV,Y,Y,Shelf unvegetated sediments
Z_40,20220512,12:29,Zeehan AMP,133,Z_40,Fished,IUCN VI,-39.930112,143.24969,GoPro Hero10,neville.barrett@utas.edu.au,jacquomo.monk@utas.edu.au,Parks Australia,DMP-MPA-2122-038,LV,Y,Y,Mixed Rariphotic shelf reefs & Shelf unvegetated sediments
Z_41,20220508,16:11,Zeehan AMP,104,Z_41,Fished,IUCN VI,-39.80101,143.46925,GoPro Hero10,neville.barrett@utas.edu.au,jacquomo.monk@utas.edu.au,Parks Australia,DMP-MPA-2122-038,LV,Y,Y,Shelf unvegetated sediments
Z_42,20220509,10:52,Zeehan AMP,103,Z_42,Fished,IUCN VI,-39.870276,143.40491,GoPro Hero10,neville.barrett@utas.edu.au,jacquomo.monk@utas.edu.au,Parks Australia,DMP-MPA-2122-038,LV,Y,Y,Shelf unvegetated sediments
Z_43,20220510,11:09,Zeehan AMP,117,Z_43,Fished,IUCN VI,-39.800335,143.24158,GoPro Hero10,neville.barrett@utas.edu.au,jacquomo.monk@utas.edu.au,Parks Australia,DMP-MPA-2122-038,LV,Y,Y,Mixed Rariphotic shelf reefs & Shelf unvegetated sediments
Z_44,20220508,17:42,Zeehan AMP,103,Z_44,Fished,IUCN VI,-39.81714,143.4342,GoPro Hero10,neville.barrett@utas.edu.au,jacquomo.monk@utas.edu.au,Parks Australia,DMP-MPA-2122-038,LV,Y,N,Mixed Rariphotic shelf reefs & Shelf unvegetated sediments
Z_45,20220513,10:22,Zeehan AMP,108,Z_45,Fished,IUCN VI,-39.910361,143.30773,GoPro Hero10,neville.barrett@utas.edu.au,jacquomo.monk@utas.edu.au,Parks Australia,DMP-MPA-2122-038,LV,Y,Y,Mixed Rariphotic shelf reefs & Shelf unvegetated sediments
Z_46,20220511,11:26,Zeehan AMP,111,Z_46,Fished,IUCN VI,-39.844744,143.28087,GoPro Hero10,neville.barrett@utas.edu.au,jacquomo.monk@utas.edu.au,Parks Australia,DMP-MPA-2122-038,LV,Y,Y,Mixed Rariphotic shelf reefs & Shelf unvegetated sediments
Z_47,20220512,10:51,Zeehan AMP,125,Z_47,Fished,IUCN VI,-39.892094,143.23271,GoPro Hero10,neville.barrett@utas.edu.au,jacquomo.monk@utas.edu.au,Parks Australia,DMP-MPA-2122-038,LV,Y,Y,Shelf unvegetated sediments
Z_48,20220505,9:48,Zeehan AMP,102,Z_48,Fished,IUCN VI,-39.884035,143.59804,GoPro Hero10,neville.barrett@utas.edu.au,jacquomo.monk@utas.edu.au,Parks Australia,DMP-MPA-2122-038,TD,Y,Y,Shelf unvegetated sediments
Z_49,20220511,12:39,Zeehan AMP,115,Z_49,Fished,IUCN VI,-39.832992,143.27391,GoPro Hero10,neville.barrett@utas.edu.au,jacquomo.monk@utas.edu.au,Parks Australia,DMP-MPA-2122-038,LV,Y,Y,Shelf unvegetated sediments
Z_50,20220505,11:48,Zeehan AMP,101,Z_50,Fished,IUCN VI,-39.937582,143.51172,GoPro Hero10,neville.barrett@utas.edu.au,jacquomo.monk@utas.edu.au,Parks Australia,DMP-MPA-2122-038,TD,Y,Y,Rariphotic shelf reefs
Z_51,20220508,13:39,Zeehan AMP,105,Z_51,Fished,IUCN VI,-39.859053,143.48532,GoPro Hero10,neville.barrett@utas.edu.au,jacquomo.monk@utas.edu.au,Parks Australia,DMP-MPA-2122-038,LV,Y,Y,Shelf unvegetated sediments
Z_52,20220511,7:32,Zeehan AMP,105,Z_52,Fished,IUCN VI,-39.813048,143.32626,GoPro Hero10,neville.barrett@utas.edu.au,jacquomo.monk@utas.edu.au,Parks Australia,DMP-MPA-2122-038,LV,Y,Y,Shelf unvegetated sediments
Z_53,20220510,15:27,Zeehan AMP,118,Z_53,Fished,IUCN VI,-39.823076,143.23462,GoPro Hero10,neville.barrett@utas.edu.au,jacquomo.monk@utas.edu.au,Parks Australia,DMP-MPA-2122-038,LV,Y,Y,Mixed Rariphotic shelf reefs & Shelf unvegetated sediments
Z_54,20220513,9:45,Zeehan AMP,113,Z_54,Fished,IUCN VI,-39.902624,143.29107,GoPro Hero10,neville.barrett@utas.edu.au,jacquomo.monk@utas.edu.au,Parks Australia,DMP-MPA-2122-038,LV,Y,Y,Shelf unvegetated sediments
Z_55,20220511,9:22,Zeehan AMP,102,Z_55,Fished,IUCN VI,-39.840615,143.37795,GoPro Hero10,neville.barrett@utas.edu.au,jacquomo.monk@utas.edu.au,Parks Australia,DMP-MPA-2122-038,LV,Y,N,Rariphotic shelf reefs
Z_56,20220504,16:02,Zeehan AMP,103,Z_56,Fished,IUCN VI,-39.941228,143.58572,GoPro Hero10,neville.barrett@utas.edu.au,jacquomo.monk@utas.edu.au,Parks Australia,DMP-MPA-2122-038,TD,Y,Y,Shelf unvegetated sediments
Z_57,20220510,11:50,Zeehan AMP,135,Z_57,Fished,IUCN VI,-39.793655,143.21346,GoPro Hero10,neville.barrett@utas.edu.au,jacquomo.monk@utas.edu.au,Parks Australia,DMP-MPA-2122-038,LV,Y,Y,Shelf unvegetated sediments
Z_58,20220512,10:00,Zeehan AMP,119,Z_58,Fished,IUCN VI,-39.88977,143.24991,GoPro Hero10,neville.barrett@utas.edu.au,jacquomo.monk@utas.edu.au,Parks Australia,DMP-MPA-2122-038,LV,Y,Y,Shelf unvegetated sediments
Z_59,20220505,13:55,Zeehan AMP,107,Z_59,Fished,IUCN VI,-39.915882,143.46148,GoPro Hero10,neville.barrett@utas.edu.au,jacquomo.monk@utas.edu.au,Parks Australia,DMP-MPA-2122-038,TD,Y,Y,Shelf unvegetated sediments
Z_60,20220513,11:38,Zeehan AMP,121,Z_60,Fished,IUCN VI,-39.942536,143.27745,GoPro Hero10,neville.barrett@utas.edu.au,jacquomo.monk@utas.edu.au,Parks Australia,DMP-MPA-2122-038,LV,Y,Y,Rariphotic shelf reefs
Z_61,20220512,12:00,Zeehan AMP,133,Z_61,Fished,IUCN VI,-39.91517,143.23332,GoPro Hero10,neville.barrett@utas.edu.au,jacquomo.monk@utas.edu.au,Parks Australia,DMP-MPA-2122-038,LV,Y,Y,Shelf unvegetated sediments
Z_62,20220509,11:40,Zeehan AMP,103,Z_62,Fished,IUCN VI,-39.881208,143.45566,GoPro Hero10,neville.barrett@utas.edu.au,jacquomo.monk@utas.edu.au,Parks Australia,DMP-MPA-2122-038,LV,Y,Y,Shelf unvegetated sediments
Z_63,20220512,8:08,Zeehan AMP,113,Z_63,Fished,IUCN VI,-39.856069,143.27453,GoPro Hero10,neville.barrett@utas.edu.au,jacquomo.monk@utas.edu.au,Parks Australia,DMP-MPA-2122-038,LV,Y,Y,Rariphotic shelf reefs
Z_64,20220509,16:14,Zeehan AMP,104,Z_64,Fished,IUCN VI,-39.898668,143.39395,GoPro Hero10,neville.barrett@utas.edu.au,jacquomo.monk@utas.edu.au,Parks Australia,DMP-MPA-2122-038,LV,Y,Y,Mixed Rariphotic shelf reefs & Shelf unvegetated sediments
Z_65,20220509,16:54,Zeehan AMP,102,Z_65,Fished,IUCN VI,-39.897449,143.36361,GoPro Hero10,neville.barrett@utas.edu.au,jacquomo.monk@utas.edu.au,Parks Australia,DMP-MPA-2122-038,LV ,Y,Y,Rariphotic shelf reefs
Z_66,20220510,9:13,Zeehan AMP,102,Z_66,Fished,IUCN VI,-39.793087,143.34157,GoPro Hero10,neville.barrett@utas.edu.au,jacquomo.monk@utas.edu.au,Parks Australia,DMP-MPA-2122-038,LV,Y,Y,Mixed Rariphotic shelf reefs & Shelf unvegetated sediments
Z_67,20220505,8:52,Zeehan AMP,103,Z_67,Fished,IUCN VI,-39.873409,143.64135,GoPro Hero10,neville.barrett@utas.edu.au,jacquomo.monk@utas.edu.au,Parks Australia,DMP-MPA-2122-038,TD,Y,Y,Shelf unvegetated sediments
Z_68,20220511,16:49,Zeehan AMP,123,Z_68,Fished,IUCN VI,-39.871594,143.23103,GoPro Hero10,neville.barrett@utas.edu.au,jacquomo.monk@utas.edu.au,Parks Australia,DMP-MPA-2122-038,LV,Y,Y,Mixed Rariphotic shelf reefs & Shelf unvegetated sediments
Z_69,20220505,10:54,Zeehan AMP,103,Z_69,Fished,IUCN VI,-39.914126,143.55561,GoPro Hero10,neville.barrett@utas.edu.au,jacquomo.monk@utas.edu.au,Parks Australia,DMP-MPA-2122-038,TD,Y,Y,Shelf unvegetated sediments
Z_70,20220510,15:06,Zeehan AMP,122,Z_70,Fished,IUCN VI,-39.819652,143.22628,GoPro Hero10,neville.barrett@utas.edu.au,jacquomo.monk@utas.edu.au,Parks Australia,DMP-MPA-2122-038,LV,Y,Y,Rariphotic shelf reefs
Z_71,20220512,13:40,Zeehan AMP,180,Z_71,Fished,IUCN VI,-39.940798,143.23483,GoPro Hero10,neville.barrett@utas.edu.au,jacquomo.monk@utas.edu.au,Parks Australia,DMP-MPA-2122-038,LV,Y,Y,Shelf unvegetated sediments
Z_72,20220512,7:49,Zeehan AMP,109,Z_72,Fished,IUCN VI,-39.865164,143.29975,GoPro Hero10,neville.barrett@utas.edu.au,jacquomo.monk@utas.edu.au,Parks Australia,DMP-MPA-2122-038,LV,Y,Y,Mixed Rariphotic shelf reefs & Shelf unvegetated sediments
Z_73,20220509,13:16,Zeehan AMP,104,Z_73,Fished,IUCN VI,-39.94046,143.42885,GoPro Hero10,neville.barrett@utas.edu.au,jacquomo.monk@utas.edu.au,Parks Australia,DMP-MPA-2122-038,LV,Y,Y,Shelf unvegetated sediments
Z_74,20220508,14:20,Zeehan AMP,102,Z_74,Fished,IUCN VI,-39.836477,143.51019,GoPro Hero10,neville.barrett@utas.edu.au,jacquomo.monk@utas.edu.au,Parks Australia,DMP-MPA-2122-038,LV,Y,Y,Mixed Rariphotic shelf reefs & Shelf unvegetated sediments
Z_75,20220509,15:09,Zeehan AMP,103,Z_75,Fished,IUCN VI,-39.92978,143.38366,GoPro Hero10,neville.barrett@utas.edu.au,jacquomo.monk@utas.edu.au,Parks Australia,DMP-MPA-2122-038,LV,Y,Y,Rariphotic shelf reefs
Z_76,20220509,14:04,Zeehan AMP,109,Z_76,Fished,IUCN VI,-39.947668,143.40566,GoPro Hero10,neville.barrett@utas.edu.au,jacquomo.monk@utas.edu.au,Parks Australia,DMP-MPA-2122-038,LV,Y,Y,Shelf unvegetated sediments
Z_77,20220506,9:56,Zeehan AMP,101,Z_77,Fished,IUCN VI,-39.816927,143.57951,GoPro Hero10,neville.barrett@utas.edu.au,jacquomo.monk@utas.edu.au,Parks Australia,DMP-MPA-2122-038,TD,Y,Y,Shelf unvegetated sediments
Z_78,20220513,14:40,Zeehan AMP,102,Z_78,Fished,IUCN VI,-39.920435,143.36134,GoPro Hero10,neville.barrett@utas.edu.au,jacquomo.monk@utas.edu.au,Parks Australia,DMP-MPA-2122-038,AB,Y,Y,Shelf unvegetated sediments
Z_79,20220511,12:08,Zeehan AMP,107,Z_79,Fished,IUCN VI,-39.832467,143.31097,GoPro Hero10,neville.barrett@utas.edu.au,jacquomo.monk@utas.edu.au,Parks Australia,DMP-MPA-2122-038,LV,Y,Y,Shelf unvegetated sediments
Z_80,20220506,8:02,Zeehan AMP,101,Z_80,Fished,IUCN VI,-39.861068,143.61343,GoPro Hero10,neville.barrett@utas.edu.au,jacquomo.monk@utas.edu.au,Parks Australia,DMP-MPA-2122-038,TD,Y,Y,Shelf unvegetated sediments
Z_81,20220510,11:37,Zeehan AMP,123,Z_81,Fished,IUCN VI,-39.790696,143.22214,GoPro Hero10,neville.barrett@utas.edu.au,jacquomo.monk@utas.edu.au,Parks Australia,DMP-MPA-2122-038,LV,Y,Y,Rariphotic shelf reefs
Z_82,20220512,15:08,Zeehan AMP,117,Z_82,Fished,IUCN VI,-39.922037,143.27575,GoPro Hero10,neville.barrett@utas.edu.au,jacquomo.monk@utas.edu.au,Parks Australia,DMP-MPA-2122-038,LV,Y,Y,Shelf unvegetated sediments
Z_83,20220510,12:23,Zeehan AMP,146,Z_83,Fished,IUCN VI,-39.812968,143.19815,GoPro Hero10,neville.barrett@utas.edu.au,jacquomo.monk@utas.edu.au,Parks Australia,DMP-MPA-2122-038,LV,Y,Y,Mixed Rariphotic shelf reefs & Shelf unvegetated sediments
Z_84,20220505,15:31,Zeehan AMP,103,Z_84,Fished,IUCN VI,-39.893655,143.4977,GoPro Hero10,neville.barrett@utas.edu.au,jacquomo.monk@utas.edu.au,Parks Australia,DMP-MPA-2122-038,TD,Y,Y,Mixed Rariphotic shelf reefs & Shelf unvegetated sediments
Z_85,20220505,12:57,Zeehan AMP,103,Z_85,Fished,IUCN VI,-39.936271,143.48032,GoPro Hero10,neville.barrett@utas.edu.au,jacquomo.monk@utas.edu.au,Parks Australia,DMP-MPA-2122-038,TD,Y,Y,Mixed Rariphotic shelf reefs & Shelf unvegetated sediments
Z_86,20220513,10:11,Zeehan AMP,110,Z_86,Fished,IUCN VI,-39.911258,143.29914,GoPro Hero10,neville.barrett@utas.edu.au,jacquomo.monk@utas.edu.au,Parks Australia,DMP-MPA-2122-038,LV,Y,Y,Rariphotic shelf reefs
Z_87,20220508,16:58,Zeehan AMP,105,Z_87,Fished,IUCN VI,-39.798623,143.42663,GoPro Hero10,neville.barrett@utas.edu.au,jacquomo.monk@utas.edu.au,Parks Australia,DMP-MPA-2122-038,LV,Y,Y,Shelf unvegetated sediments
Z_88,20220513,8:36,Zeehan AMP,106,Z_88,Fished,IUCN VI,-39.890526,143.32692,GoPro Hero10,neville.barrett@utas.edu.au,jacquomo.monk@utas.edu.au,Parks Australia,DMP-MPA-2122-038,LV,Y,Y,Shelf unvegetated sediments
Z_89,20220511,16:14,Zeehan AMP,136,Z_89,Fished,IUCN VI,-39.872923,143.21377,GoPro Hero10,neville.barrett@utas.edu.au,jacquomo.monk@utas.edu.au,Parks Australia,DMP-MPA-2122-038,LV,Y,Y,Mixed Rariphotic shelf reefs & Shelf unvegetated sediments
Z_90,20220512,11:06,Zeehan AMP,123,Z_90,Fished,IUCN VI,-39.899853,143.24421,GoPro Hero10,neville.barrett@utas.edu.au,jacquomo.monk@utas.edu.au,Parks Australia,DMP-MPA-2122-038,LV,Y,Y,Mixed Rariphotic shelf reefs & Shelf unvegetated sediments
Z_91,20220509,7:51,Zeehan AMP,105,Z_91,Fished,IUCN VI,-39.839732,143.46013,GoPro Hero10,neville.barrett@utas.edu.au,jacquomo.monk@utas.edu.au,Parks Australia,DMP-MPA-2122-038,LV,Y,Y,Shelf unvegetated sediments
Z_92,20220505,17:00,Zeehan AMP,100,Z_92,Fished,IUCN VI,-39.867926,143.53466,GoPro Hero10,neville.barrett@utas.edu.au,jacquomo.monk@utas.edu.au,Parks Australia,DMP-MPA-2122-038,TD ,Y,Y,Shelf unvegetated sediments
Z_93,20220513,12:30,Zeehan AMP,110,Z_93,Fished,IUCN VI,-39.949521,143.30995,GoPro Hero10,neville.barrett@utas.edu.au,jacquomo.monk@utas.edu.au,Parks Australia,DMP-MPA-2122-038,AB,Y,Y,Shelf unvegetated sediments
Z_94,20220512,16:11,Zeehan AMP,114,Z_94,Fished,IUCN VI,-39.883814,143.28308,GoPro Hero10,neville.barrett@utas.edu.au,jacquomo.monk@utas.edu.au,Parks Australia,DMP-MPA-2122-038,LV ,Y,Y,Mixed Rariphotic shelf reefs & Shelf unvegetated sediments
Z_95,20220510,7:52,Zeehan AMP,102,Z_95,Fished,IUCN VI,-39.822521,143.39269,GoPro Hero10,neville.barrett@utas.edu.au,jacquomo.monk@utas.edu.au,Parks Australia,DMP-MPA-2122-038,LV,Y,Y,Shelf unvegetated sediments
Z_96,20220504,17:13,Zeehan AMP,99,Z_96,Fished,IUCN VI,-39.915026,143.61978,GoPro Hero10,neville.barrett@utas.edu.au,jacquomo.monk@utas.edu.au,Parks Australia,DMP-MPA-2122-038,TD,Y,Y,Rariphotic shelf reefs
Z_97,20220511,13:18,Zeehan AMP,122,Z_97,Fished,IUCN VI,-39.844662,143.22818,GoPro Hero10,neville.barrett@utas.edu.au,jacquomo.monk@utas.edu.au,Parks Australia,DMP-MPA-2122-038,LV,Y,Y,Shelf unvegetated sediments
Z_98,20220513,15:18,Zeehan AMP,105,Z_98,Fished,IUCN VI,-39.939094,143.34468,GoPro Hero10,neville.barrett@utas.edu.au,jacquomo.monk@utas.edu.au,Parks Australia,DMP-MPA-2122-038,AB,Y,Y,Mixed Rariphotic shelf reefs & Shelf unvegetated sediments
