Dot Point Measurements

Generated: Thursday 07 July 2022 09:17:14

Filename	Frame	Time (mins)	Image row	Image col	Date	Location	Site #	Transect #	Latitude	Longitude	Rugosity	Depth	Collector	Fishing status	Spare	Spare	BROAD	MORPHOLOGY	TYPE	FieldOfView	Relief	CODE			Radius %
1.jpg	      0		2043	2602													Seagrasses	Strap-like leaves	Posidonia sp. with epiphytes algae	Open		63600903			50.7
1.jpg	      0		1903	3769													Macroalgae	Filamentous and filiform		Open		80300930			99.4
1.jpg	      0		1624	2722													Seagrasses	Strap-like leaves	Amphibolis sp. with epiphytes algae	Open		63600903			44.1
1.jpg	      0		1789	3679													Macroalgae	Drift		Open		80300000_2			93.4
1.jpg	      0		2090	3174													Macroalgae	Drift		Open		80300000_2			75.3
1.jpg	      0		1985	2795													Seagrasses	Strap-like leaves	Posidonia sp. with epiphytes algae	Open		63600903			56.2
1.jpg	      0		1789	2797													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			51.0
1.jpg	      0		1794	3811													Macroalgae	Drift		Open		80300000_2			100.0
1.jpg	      0		1636	2689													Seagrasses	Strap-like leaves	Amphibolis sp. with epiphytes algae	Open		63600903			42.7
1.jpg	      0		1731	1135													Seagrasses	Strap-like leaves	Amphibolis sp. with epiphytes algae	Open		63600903			44.7
1.jpg	      0		1904	887													Seagrasses	Strap-like leaves	Amphibolis sp. with epiphytes algae	Open		63600903			60.0
1.jpg	      0		1813	1708													Seagrasses	Strap-like leaves	Amphibolis sp. with epiphytes algae	Open		63600903			26.7
1.jpg	      0		1686	69													Seagrasses	Strap-like leaves	Amphibolis sp. with epiphytes algae	Open		63600903			96.0
1.jpg	      0		1721	1881													Seagrasses	Strap-like leaves	Amphibolis sp. with epiphytes algae	Open		63600903			20.0
1.jpg	      0		1905	454													Macroalgae	Drift		Open		80300000_2			80.1
1.jpg	      0		2112	970													Seagrasses	Strap-like leaves	Amphibolis sp. with epiphytes algae	Open		63600903			62.6
1.jpg	      0		1785	718													Seagrasses	Strap-like leaves	Posidonia sp. with epiphytes algae	Open		63600903			65.3
1.jpg	      0		1769	1815													Seagrasses	Strap-like leaves	Amphibolis sp. with epiphytes algae	Open		63600903			22.9
1.jpg	      0		1852	573													Macroalgae	Drift		Open		80300000_2			73.5
1.jpg	      0		1754	472													Seagrasses	Strap-like leaves	Posidonia sp. with epiphytes algae	Open		63600903			76.7
1.jpg	      0		2049	232													Macroalgae	Drift		Open		80300000_2			93.4
1.jpg	      0		1876	1030													Seagrasses	Strap-like leaves	Amphibolis sp. with epiphytes algae	Open		63600903			53.0
1.jpg	      0		2057	426													Macroalgae	Drift		Open		80300000_2			84.6
1.jpg	      0		2149	888													Seagrasses	Strap-like leaves	Amphibolis sp. with epiphytes algae	Open		63600903			67.0
1.jpg	      0		1721	383													Seagrasses	Strap-like leaves	Posidonia sp. with epiphytes algae	Open		63600903			80.7
1.jpg	      0		1915	1759													Seagrasses	Strap-like leaves	Amphibolis sp. with epiphytes algae	Open		63600903			30.8
1.jpg	      0		1846	1728													Seagrasses	Strap-like leaves	Amphibolis sp. with epiphytes algae	Open		63600903			27.9
1.jpg	      0		1857	1286													Seagrasses	Strap-like leaves	Amphibolis sp. with epiphytes algae	Open		63600903			41.8
1.jpg	      0		1668	444													Seagrasses	Strap-like leaves	Posidonia sp. with epiphytes algae	Open		63600903			77.0
10.jpg	      0		772	1259													Seagrasses	Strap-like leaves	Posidonia sp. with epiphytes algae	Open		63600903			48.3
10.jpg	      0		828	864													Macroalgae	Filamentous and filiform		Open		80300930			63.8
10.jpg	      0		872	1437													Seagrasses	Strap-like leaves	Posidonia sp. with epiphytes algae	Open		63600903			38.1
10.jpg	      0		995	263													Seagrasses	Strap-like leaves	Posidonia sp. with epiphytes algae	Open		63600903			90.0
10.jpg	      0		858	833													Macroalgae	Filamentous and filiform		Open		80300930			64.6
10.jpg	      0		725	1057													Seagrasses	Strap-like leaves	Posidonia sp. with epiphytes algae	Open		63600903			57.9
10.jpg	      0		971	850													Seagrasses	Strap-like leaves	Posidonia sp. with epiphytes algae	Open		63600903			61.7
10.jpg	      0		653	1745													Macroalgae	Filamentous and filiform		Open		80300930			38.5
10.jpg	      0		606	548													Seagrasses	Strap-like leaves	Posidonia sp. with epiphytes algae	Open		63600903			83.1
10.jpg	      0		614	1656													Macroalgae	Filamentous and filiform		Open		80300930			42.0
10.jpg	      0		1028	850													Seagrasses	Strap-like leaves	Posidonia sp. with epiphytes algae	Open		63600903			60.9
10.jpg	      0		1014	1005													Seagrasses	Strap-like leaves	Posidonia sp. with epiphytes algae	Open		63600903			53.6
10.jpg	      0		1072	1723													Seagrasses	Strap-like leaves	Posidonia sp. with epiphytes algae	Open		63600903			20.7
10.jpg	      0		1003	897													Seagrasses	Strap-like leaves	Posidonia sp. with epiphytes algae	Open		63600903			59.0
10.jpg	      0		836	774													Macroalgae	Filamentous and filiform		Open		80300930			67.8
10.jpg	      0		1032	706													Seagrasses	Strap-like leaves	Posidonia sp. with epiphytes algae	Open		63600903			67.8
10.jpg	      0		549	723													Seagrasses	Strap-like leaves	Posidonia sp. with epiphytes algae	Open		63600903			76.9
10.jpg	      0		910	770													Macroalgae	Filamentous and filiform		Open		80300930			66.6
10.jpg	      0		977	1665													Seagrasses	Strap-like leaves	Posidonia sp. with epiphytes algae	Open		63600903			26.2
10.jpg	      0		915	197													Seagrasses	Strap-like leaves	Posidonia sp. with epiphytes algae	Open		63600903			94.3
10.jpg	      0		824	3412													Seagrasses	Strap-like leaves	Posidonia sp. with epiphytes algae	Open		63600903			76.3
10.jpg	      0		799	3061													Seagrasses	Strap-like leaves	Posidonia sp. with epiphytes algae	Open		63600903			60.7
10.jpg	      0		942	3688													Seagrasses	Strap-like leaves	Posidonia sp. with epiphytes algae	Open		63600903			87.9
10.jpg	      0		560	3604													Seagrasses	Strap-like leaves	Posidonia sp. with epiphytes algae	Open		63600903			90.7
10.jpg	      0		1019	2465													Seagrasses	Strap-like leaves	Posidonia sp. with epiphytes algae	Open		63600903			29.3
10.jpg	      0		793	3818													Seagrasses	Strap-like leaves	Posidonia sp. with epiphytes algae	Open		63600903			96.2
10.jpg	      0		954	2738													Seagrasses	Strap-like leaves	Posidonia sp. with epiphytes algae	Open		63600903			42.7
10.jpg	      0		606	2711													Seagrasses	Strap-like leaves	Posidonia sp. with epiphytes algae	Open		63600903			52.6
10.jpg	      0		893	3009													Seagrasses	Strap-like leaves	Posidonia sp. with epiphytes algae	Open		63600903			56.2
10.jpg	      0		745	2070													Seagrasses	Strap-like leaves	Posidonia sp. with epiphytes algae	Open		63600903			31.7
10.jpg	      0		803	2631													Seagrasses	Strap-like leaves	Posidonia sp. with epiphytes algae	Open		63600903			42.7
10.jpg	      0		943	3664													Seagrasses	Strap-like leaves	Posidonia sp. with epiphytes algae	Open		63600903			86.7
10.jpg	      0		730	3805													Seagrasses	Strap-like leaves	Posidonia sp. with epiphytes algae	Open		63600903			96.6
10.jpg	      0		794	2883													Seagrasses	Strap-like leaves	Posidonia sp. with epiphytes algae	Open		63600903			53.1
10.jpg	      0		834	2413													Seagrasses	Strap-like leaves	Posidonia sp. with epiphytes algae	Open		63600903			34.0
10.jpg	      0		716	1958													Seagrasses	Strap-like leaves	Posidonia sp. with epiphytes algae	Open		63600903			33.1
10.jpg	      0		869	2125													Seagrasses	Strap-like leaves	Posidonia sp. with epiphytes algae	Open		63600903			26.0
10.jpg	      0		699	2670													Seagrasses	Strap-like leaves	Posidonia sp. with epiphytes algae	Open		63600903			47.8
10.jpg	      0		990	3580													Seagrasses	Strap-like leaves	Posidonia sp. with epiphytes algae	Open		63600903			82.0
10.jpg	      0		639	3178													Seagrasses	Strap-like leaves	Posidonia sp. with epiphytes algae	Open		63600903			69.9
10.jpg	      0		2002	3135													Seagrasses	Strap-like leaves	Posidonia sp. with epiphytes algae	Open		63600903			65.5
10.jpg	      0		1827	2217													Seagrasses	Strap-like leaves	Posidonia sp. with epiphytes algae	Open		63600903			25.5
10.jpg	      0		1756	3258													Seagrasses	Strap-like leaves	Posidonia sp. with epiphytes algae	Open		63600903			66.4
10.jpg	      0		1886	3815													Seagrasses	Strap-like leaves	Posidonia sp. with epiphytes algae	Open		63600903			95.2
10.jpg	      0		1858	2884													Seagrasses	Strap-like leaves	Posidonia sp. with epiphytes algae	Open		63600903			50.9
10.jpg	      0		1932	2970													Seagrasses	Strap-like leaves	Posidonia sp. with epiphytes algae	Open		63600903			56.6
10.jpg	      0		1715	2858													Seagrasses	Strap-like leaves	Posidonia sp. with epiphytes algae	Open		63600903			46.6
10.jpg	      0		1659	1929													Seagrasses	Strap-like leaves	Posidonia sp. with epiphytes algae	Open		63600903			15.2
10.jpg	      0		1639	3827													Seagrasses	Strap-like leaves	Posidonia sp. with epiphytes algae	Open		63600903			93.2
10.jpg	      0		1911	2495													Seagrasses	Strap-like leaves	Posidonia sp. with epiphytes algae	Open		63600903			37.0
10.jpg	      0		2080	3097													Seagrasses	Strap-like leaves	Posidonia sp. with epiphytes algae	Open		63600903			65.9
10.jpg	      0		2131	3078													Seagrasses	Strap-like leaves	Posidonia sp. with epiphytes algae	Open		63600903			66.6
10.jpg	      0		1794	2933													Seagrasses	Strap-like leaves	Posidonia sp. with epiphytes algae	Open		63600903			51.7
10.jpg	      0		1780	3150													Seagrasses	Strap-like leaves	Posidonia sp. with epiphytes algae	Open		63600903			61.6
10.jpg	      0		2099	3365													Seagrasses	Strap-like leaves	Posidonia sp. with epiphytes algae	Open		63600903			78.1
10.jpg	      0		1694	2032													Seagrasses	Strap-like leaves	Posidonia sp. with epiphytes algae	Open		63600903			16.5
10.jpg	      0		2053	3203													Seagrasses	Strap-like leaves	Posidonia sp. with epiphytes algae	Open		63600903			69.8
10.jpg	      0		1642	2818													Seagrasses	Strap-like leaves	Posidonia sp. with epiphytes algae	Open		63600903			43.4
10.jpg	      0		1894	3369													Seagrasses	Strap-like leaves	Posidonia sp. with epiphytes algae	Open		63600903			74.0
10.jpg	      0		1905	2631													Seagrasses	Strap-like leaves	Posidonia sp. with epiphytes algae	Open		63600903			41.7
10.jpg	      0		2122	1422													Seagrasses	Strap-like leaves	Posidonia sp. with epiphytes algae	Open		63600903			48.1
10.jpg	      0		1796	1590													Seagrasses	Strap-like leaves	Posidonia sp. with epiphytes algae	Open		63600903			30.1
10.jpg	      0		1763	1853													Seagrasses	Strap-like leaves	Posidonia sp. with epiphytes algae	Open		63600903			21.3
10.jpg	      0		1986	693													Seagrasses	Strap-like leaves	Posidonia sp. with epiphytes algae	Open		63600903			73.3
10.jpg	      0		1781	1208													Seagrasses	Strap-like leaves	Posidonia sp. with epiphytes algae	Open		63600903			45.3
10.jpg	      0		2037	924													Seagrasses	Strap-like leaves	Posidonia sp. with epiphytes algae	Open		63600903			64.2
10.jpg	      0		2066	1128													Seagrasses	Strap-like leaves	Posidonia sp. with epiphytes algae	Open		63600903			56.6
10.jpg	      0		2069	414													Seagrasses	Strap-like leaves	Posidonia sp. with epiphytes algae	Open		63600903			87.9
10.jpg	      0		1971	1510													Seagrasses	Strap-like leaves	Posidonia sp. with epiphytes algae	Open		63600903			39.4
10.jpg	      0		1958	1610													Seagrasses	Strap-like leaves	Posidonia sp. with epiphytes algae	Open		63600903			35.9
10.jpg	      0		1736	1115													Seagrasses	Strap-like leaves	Posidonia sp. with epiphytes algae	Open		63600903			48.7
10.jpg	      0		2071	1882													Seagrasses	Strap-like leaves	Posidonia sp. with epiphytes algae	Open		63600903			36.0
10.jpg	      0		1727	1426													Seagrasses	Strap-like leaves	Posidonia sp. with epiphytes algae	Open		63600903			34.4
10.jpg	      0		1836	83													Seagrasses	Strap-like leaves	Posidonia sp. with epiphytes algae	Open		63600903			100.0
10.jpg	      0		2023	1166													Seagrasses	Strap-like leaves	Posidonia sp. with epiphytes algae	Open		63600903			53.8
10.jpg	      0		2051	1198													Seagrasses	Strap-like leaves	Posidonia sp. with epiphytes algae	Open		63600903			53.4
10.jpg	      0		1982	408													Seagrasses	Strap-like leaves	Posidonia sp. with epiphytes algae	Open		63600903			86.5
10.jpg	      0		2140	273													Seagrasses	Strap-like leaves	Posidonia sp. with epiphytes algae	Open		63600903			95.8
10.jpg	      0		1784	1665													Seagrasses	Strap-like leaves	Posidonia sp. with epiphytes algae	Open		63600903			27.1
10.jpg	      0		1967	394													Seagrasses	Strap-like leaves	Posidonia sp. with epiphytes algae	Open		63600903			86.9
100.jpg	      0		756	197													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			93.1
100.jpg	      0		776	1479													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			37.9
100.jpg	      0		610	1748													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			38.2
100.jpg	      0		873	1757													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			26.1
100.jpg	      0		597	1376													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			47.9
100.jpg	      0		620	980													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			61.4
100.jpg	      0		795	996													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			56.3
100.jpg	      0		740	384													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			84.8
100.jpg	      0		886	1899													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			23.1
100.jpg	      0		649	1853													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			34.9
100.jpg	      0		580	496													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			82.9
100.jpg	      0		810	751													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			66.8
100.jpg	      0		942	878													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			58.6
100.jpg	      0		800	1698													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			30.6
100.jpg	      0		650	175													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			95.9
100.jpg	      0		737	356													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			86.1
100.jpg	      0		849	1392													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			38.6
100.jpg	      0		1017	1702													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			21.8
100.jpg	      0		812	125													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			95.7
100.jpg	      0		1001	588													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			71.4
100.jpg	      0		741	3735													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			89.9
100.jpg	      0		1067	3692													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			84.0
100.jpg	      0		1017	3126													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			57.4
100.jpg	      0		705	2070													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			31.6
100.jpg	      0		876	3172													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			61.8
100.jpg	      0		929	3782													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			89.6
100.jpg	      0		959	3714													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			86.0
100.jpg	      0		756	3256													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			67.9
100.jpg	      0		1053	1988													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			14.4
100.jpg	      0		829	2058													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			25.5
100.jpg	      0		1068	3724													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			85.5
100.jpg	      0		695	3435													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			77.1
100.jpg	      0		1055	2740													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			38.8
100.jpg	      0		555	2871													Seagrasses	Strap-like leaves	Amphibolis sp. with epiphytes algae	Open		63600903			57.6
100.jpg	      0		597	3770													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			94.1
100.jpg	      0		662	3368													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			74.8
100.jpg	      0		982	2256													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			21.7
100.jpg	      0		752	2251													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			31.5
100.jpg	      0		658	1988													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			33.7
100.jpg	      0		857	3491													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			76.8
100.jpg	      0		1965	1216													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			49.1
100.jpg	      0		2016	1393													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			44.5
100.jpg	      0		1957	1194													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			49.7
100.jpg	      0		1764	1642													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			27.1
100.jpg	      0		2148	1344													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			51.0
100.jpg	      0		1693	257													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			87.3
100.jpg	      0		2026	1603													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			38.7
100.jpg	      0		1927	48													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			100.0
100.jpg	      0		1940	1916													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			29.5
100.jpg	      0		2126	795													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			70.5
100.jpg	      0		2136	897													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			66.7
100.jpg	      0		2141	1121													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			58.3
100.jpg	      0		1689	1645													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			24.4
100.jpg	      0		1755	1430													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			34.5
100.jpg	      0		1755	308													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			85.5
100.jpg	      0		1913	1265													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			45.7
100.jpg	      0		2118	1119													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			57.6
100.jpg	      0		1957	720													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			69.7
100.jpg	      0		1954	853													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			63.8
100.jpg	      0		1775	1194													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			44.9
100.jpg	      0		1630	2004													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			14.0
100.jpg	      0		1692	2340													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			23.7
100.jpg	      0		1874	3138													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			61.4
100.jpg	      0		1888	2185													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			28.1
100.jpg	      0		2087	2258													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			38.5
100.jpg	      0		1624	2001													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			13.7
100.jpg	      0		1876	2763													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			45.5
100.jpg	      0		1767	3544													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			78.3
100.jpg	      0		1798	3638													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			83.2
100.jpg	      0		1776	3031													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			54.6
100.jpg	      0		1968	3741													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			90.5
100.jpg	      0		1716	3465													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			74.0
100.jpg	      0		1671	2353													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			23.4
100.jpg	      0		2084	2819													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			54.0
100.jpg	      0		1656	2244													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			19.3
100.jpg	      0		1663	3052													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			53.7
100.jpg	      0		1997	3394													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			75.3
100.jpg	      0		1876	3706													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			87.5
100.jpg	      0		2010	3169													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			65.8
100.jpg	      0		1880	2121													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			26.9
101.jpg	      0		741	1747													Macroalgae	Filamentous and filiform		Open		80300930			30.9
101.jpg	      0		757	835													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			59.4
101.jpg	      0		928	133													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			90.0
101.jpg	      0		569	561													Seagrasses	Strap-like leaves	Amphibolis sp. with epiphytes algae	Open		63600903			76.5
101.jpg	      0		693	1355													Seagrasses	Strap-like leaves	Amphibolis sp. with epiphytes algae	Open		63600903			41.2
101.jpg	      0		717	829													Seagrasses	Strap-like leaves	Amphibolis sp. with epiphytes algae	Open		63600903			60.7
101.jpg	      0		842	406													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			77.8
101.jpg	      0		1071	1735													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			14.5
101.jpg	      0		688	142													Macroalgae	Erect course branching	Brown	Open		80300904			93.2
101.jpg	      0		856	853													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			56.2
101.jpg	      0		913	1580													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			25.3
101.jpg	      0		825	319													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			82.3
101.jpg	      0		634	1072													Sponges	Massive forms		Open		10000903			53.3
101.jpg	      0		648	1059													Seagrasses	Strap-like leaves	Amphibolis sp. with epiphytes algae	Open		63600903			53.3
101.jpg	      0		998	172													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			87.3
101.jpg	      0		770	32													Macroalgae	Erect course branching	Brown	Open		80300904			97.2
101.jpg	      0		1007	450													Macroalgae	Erect course branching	Brown	Open		80300904			73.2
101.jpg	      0		1002	1566													Seagrasses	Strap-like leaves	Amphibolis sp. with epiphytes algae	Open		63600903			22.0
101.jpg	      0		581	573													Seagrasses	Strap-like leaves	Amphibolis sp. with epiphytes algae	Open		63600903			75.6
