Sample,Latitude,Longitude,Date,Time,Location,Status,Site,Depth,Observer,Successful.count,Successful.length,SiteName,Waypoint,BruvType,Zone_ID,UTMzone,Easting,Northing,FieldLead,FieldTeam,MonType,Bottom Temp
CKEI01_2011,-35.7874,136.3200333,20201115,7:52:00,Western Kangaroo Island (Commonwealth),No-take,CKEI01,109,JHicks,Yes,Yes,Commonwealth Kangaroo Island East Inside,N/A,Stereo,999,53,619293.3348,6038827.905,JHicks,MST,AMP,NA
CKEI02_2011,-35.7895,136.335,20201115,7:59:00,Western Kangaroo Island (Commonwealth),No-take,CKEI02,112,JHicks,Yes,No,Commonwealth Kangaroo Island East Inside,N/A,Stereo,999,53,620642.7974,6038576.642,JHicks,MST,AMP,NA
CKEI03_2011,-35.79136667,136.3397333,20201115,8:05:00,Western Kangaroo Island (Commonwealth),No-take,CKEI03,113,JHicks,Yes,No,Commonwealth Kangaroo Island East Inside,N/A,Stereo,999,53,621067.7375,6038363.751,JHicks,MST,AMP,NA
CKEI04_2011,-35.77583333,136.3407833,20201115,8:11:00,Western Kangaroo Island (Commonwealth),No-take,CKEI04,113,JHicks,Yes,Yes,Commonwealth Kangaroo Island East Inside,N/A,Stereo,999,53,621186.2084,6040085.414,JHicks,MST,AMP,NA
CKEI05_2011,-35.7721,136.33705,20201115,8:17:00,Western Kangaroo Island (Commonwealth),No-take,CKEI05,112,JHicks,Yes,Yes,Commonwealth Kangaroo Island East Inside,N/A,Stereo,999,53,620854.4031,6040504.127,JHicks,MST,AMP,NA
WKEI01_2011,-35.69101667,136.3252833,20201115,10:02:00,Western Kangaroo Island (State),No-take,WKEI01,108,JHicks,Yes,Yes,Western Kangaroo Island East Inside,N/A,Stereo,76,53,619912.2753,6049512.271,JHicks,MST,AMP,NA
WKEI02_2011,-35.68668333,136.341,20201115,10:06:00,Western Kangaroo Island (State),No-take,WKEI02,106,JHicks,Yes,Yes,Western Kangaroo Island East Inside,N/A,Stereo,76,53,621340.974,6049973.61,JHicks,MST,AMP,NA
WKEI03_2011,-35.68803333,136.3551667,20201115,10:15:00,Western Kangaroo Island (State),No-take,WKEI03,106,JHicks,Yes,Yes,Western Kangaroo Island East Inside,N/A,Stereo,76,53,622620.8612,6049806.271,JHicks,MST,AMP,NA
WKEI04_2011,-35.69263333,136.3553,20201115,10:21:00,Western Kangaroo Island (State),No-take,WKEI04,108,JHicks,Yes,Yes,Western Kangaroo Island East Inside,N/A,Stereo,76,53,622625.884,6049295.877,JHicks,MST,AMP,NA
WKEI05_2011,-35.70241667,136.3433833,20201115,10:29:00,Western Kangaroo Island (State),No-take,WKEI05,107,JHicks,Yes,Yes,Western Kangaroo Island East Inside,N/A,Stereo,76,53,621532.7657,6048225.54,JHicks,MST,AMP,NA
WKWI01_2011,-35.67538333,136.2873333,20201115,12:05:00,Western Kangaroo Island (State),No-take,WKWI01,108,DEaston,Yes,Yes,Western Kangaroo Island West Inside,N/A,Stereo,76,53,616501.0816,6051291.97,JHicks,MST,AMP,NA
WKWI02_2011,-35.67101667,136.2897,20201115,12:10:00,Western Kangaroo Island (State),No-take,WKWI02,107,DEaston,Yes,Yes,Western Kangaroo Island West Inside,N/A,Stereo,76,53,616721.6307,6051773.5,JHicks,MST,AMP,NA
WKWI03_2011,-35.67525,136.307,20201115,12:18:00,Western Kangaroo Island (State),No-take,WKWI03,107,DEaston,Yes,Yes,Western Kangaroo Island West Inside,N/A,Stereo,76,53,618281.1711,6051283.254,JHicks,MST,AMP,NA
WKWI04_2011,-35.67053333,136.3023833,20201115,12:23:00,Western Kangaroo Island (State),No-take,WKWI04,108,DEaston,Yes,Yes,Western Kangaroo Island West Inside,N/A,Stereo,76,53,617870.2838,6051811.966,JHicks,MST,AMP,NA
WKWI05_2011,-35.6723,136.30525,20201115,12:30:00,Western Kangaroo Island (State),No-take,WKWI05,108,DEaston,Yes,Yes,Western Kangaroo Island West Inside,N/A,Stereo,76,53,618127.1381,6051612.568,JHicks,MST,AMP,NA
