"sample","latitude","longitude","date","site","location","successful.count","depth","fov.limited","fov.open","fov.total.points.annotated","broad.kelps","broad.ascidians","broad.bryozoa","broad.consolidated","broad.hydroids","broad.invertebrate.complex","broad.macroalgae","broad.octocoral.black","broad.sponges","broad.unconsolidated","broad.total.points.annotated","mean.relief","sd.relief"
"npz9.47",-27.1397,113.1916,20210514,"npz9.47","NPZ9","Y",83.2,24,56,80,0,0,0,0,0,34,0,16,28,0,78,2.98461538461538,0.760187223902517
"npz9.49",-27.1297,113.1883,20210514,"npz9.49","NPZ9","Y",81.5,5,75,80,0,0,0,1,1,24,0,0,11,42,79,1.14925373134328,0.359027784156703
"npz9.45",-27.1341,113.1821,20210514,"npz9.45","NPZ9","Y",82.5,5,75,80,0,0,1,1,2,10,0,0,14,52,80,1.34920634920635,0.626272386342014
"npz9.43",-27.1363,113.1779,20210514,"npz9.43","NPZ9","Y",82.7,5,75,80,0,0,0,0,0,38,0,1,40,0,79,2.41269841269841,0.496273878434877
"npz9.5",-27.1519,113.1603,20210514,"npz9.5","NPZ9","Y",85.9,5,75,80,0,0,0,1,0,29,0,1,9,39,79,1.18840579710145,0.393900641355173
"npz9.14",-27.1561,113.1421,20210514,"npz9.14","NPZ9","Y",103,5,75,80,0,0,0,0,0,0,0,0,0,80,80,1,0
"npz9.7",-27.1463,113.136,20210514,"npz9.7","NPZ9","Y",103,5,75,80,0,0,0,1,0,0,0,0,0,79,80,0.983333333333333,0.129099444873581
"npz9.16",-27.134,113.1278,20210514,"npz9.16","NPZ9","Y",102,5,75,80,0,0,0,0,0,0,0,0,0,80,80,1.03125,0.17536809360305
"npz9.8",-27.1354,113.1204,20210514,"npz9.8","NPZ9","Y",108,5,75,80,0,0,0,0,0,0,0,0,0,80,80,1,0
"npz9.26",-27.1256,113.122,20210514,"npz9.26","NPZ9","Y",103,5,75,80,0,0,0,0,0,0,0,0,0,80,80,0.933333333333333,0.251548874293232
"npz9.27",-27.1253,113.1335,20210514,"npz9.27","NPZ9","Y",93.7,5,75,80,0,0,0,0,0,0,0,0,0,80,80,1,0
"npz9.13",-27.1268,113.1497,20210514,"npz9.13","NPZ9","Y",88.7,5,75,80,0,0,0,0,0,0,0,0,0,79,79,1,0
"npz9.41",-27.1233,113.1699,20210514,"npz9.41","NPZ9","Y",85.5,5,75,80,0,0,0,0,0,0,0,0,0,80,80,1.12903225806452,0.337972303052903
"npz9.44",-27.1188,113.1729,20210514,"npz9.44","NPZ9","Y",85.2,6,74,80,0,0,0,2,0,44,0,0,7,25,78,1.7,0.461566331377051
"npz9.22",-27.1211,113.1862,20210514,"npz9.22","NPZ9","Y",85.7,5,75,80,0,0,0,1,0,42,0,0,4,31,78,1.09230769230769,0.291712450619019
"npz9.6",-27.1197,113.1905,20210514,"npz9.6","NPZ9","Y",90.4,6,74,80,0,0,0,1,0,15,0,1,13,41,71,1,0
"npz9.4",-27.1088,113.172,20210514,"npz9.4","NPZ9","Y",85.1,5,75,80,0,0,0,0,0,30,0,0,7,43,80,1.1304347826087,0.380133238184164
"npz9.9",-27.1023,113.1518,20210514,"npz9.9","NPZ9","Y",87.8,5,75,80,0,0,0,0,0,1,0,0,0,75,76,0.833333333333333,0.375823014001414
"npz9.42",-27.0979,113.15,20210514,"npz9.42","NPZ9","Y",87.6,6,74,80,0,0,0,0,0,12,0,0,0,68,80,1.06666666666667,0.251548874293232
"npz9.17",-27.101,113.1122,20210514,"npz9.17","NPZ9","Y",95.4,2,78,80,0,0,0,0,0,37,0,0,34,6,77,2.52238805970149,0.745861490009715
"npz9.25",-27.1036,113.1066,20210514,"npz9.25","NPZ9","Y",103,0,80,80,0,0,0,0,0,0,0,0,0,80,80,0.982758620689655,0.131306432859723
"npz9.1",-27.0953,113.1022,20210514,"npz9.1","NPZ9","Y",102,0,80,80,0,0,0,0,0,0,0,0,0,79,79,1.28571428571429,0.607176740718916
"npz9.23",-27.098,113.0833,20210514,"npz9.23","NPZ9","Y",119,0,80,80,0,0,0,0,0,0,0,0,0,80,80,1,0
"npz9.21",-27.1128,113.077,20210514,"npz9.21","NPZ9","Y",127,0,80,80,0,0,0,0,0,0,0,0,0,80,80,0.02,0.14142135623731
