sample,latitude,longitude,date,time,site,location,successful.count,fov.Limited,fov.Open,mean.relief,sd.relief,broad.Ascidians,broad.Bryozoa,broad.Macroalgae,broad.Octocoral/Black,broad.Sponges,broad.Unconsolidated
APO_031,-38.9428436,143.5650766,20210615,11:52:00,Apollo CMR,Apollo CMR,Yes,0,100,0,0,0,20,0,4,0,1
APO_032,-38.94103251,143.552435,20210615,12:16:00,Apollo CMR,Apollo CMR,Yes,0,100,0,0,0,20,0,4,0,1
APO_033,-38.94616391,143.5558281,20210615,12:13:00,Apollo CMR,Apollo CMR,Yes,0,100,0,0,0,20,0,4,0,1
APO_034,-38.94422792,143.5684953,20210615,11:55:00,Apollo CMR,Apollo CMR,Yes,0,100,0,0,0,20,0,4,0,1
APO_035,-38.95177587,143.5512001,20210615,12:09:00,Apollo CMR,Apollo CMR,Yes,0,100,0,0,0,20,0,4,0,1
APO_036,-38.95040076,143.5631108,20210615,12:03:00,Apollo CMR,Apollo CMR,Yes,0,100,0,0,7,13,1,3,0,1
APO_037,-38.94662769,143.5644767,20210615,12:01:00,Apollo CMR,Apollo CMR,Yes,0,100,0,0,15,0,3,0,1,0
APO_038,-38.93762869,143.5698711,20210615,11:47:00,Apollo CMR,Apollo CMR,Yes,0,100,0,0,4,16,1,3,0,1
APO_039,-38.95153435,143.5582595,20210615,12:05:00,Apollo CMR,Apollo CMR,Yes,0,100,0,0,0,20,0,4,0,1
APO_040,-38.93777239,143.5650812,20210615,11:50:00,Apollo CMR,Apollo CMR,Yes,0,100,0,0,12,8,2,2,0,0
APO_041,-38.92831938,143.6121707,20210615,10:15:00,Apollo CMR,Apollo CMR,Yes,0,100,0,0,0,20,0,4,0,1
APO_042,-38.92655138,143.6211445,20210615,10:11:00,Apollo CMR,Apollo CMR,Yes,0,100,0,0,0,20,0,4,0,1
APO_043,-38.92256159,143.6126475,20210615,9:54:00,Apollo CMR,Apollo CMR,Yes,0,100,0,0,0,20,0,4,0,1
APO_044,-38.92342275,143.6242993,20210615,10:08:00,Apollo CMR,Apollo CMR,Yes,0,100,0,0,0,20,0,4,0,1
APO_045,-38.91308211,143.6216389,20210615,9:43:00,Apollo CMR,Apollo CMR,Yes,0,100,0,0,20,0,4,0,1,0
APO_046,-38.9159008,143.6161287,20210615,9:46:00,Apollo CMR,Apollo CMR,Yes,0,100,0,0,0,20,0,4,0,1
APO_047,-38.91685677,143.6251699,20210615,10:02:00,Apollo CMR,Apollo CMR,Yes,0,100,0,0,0,20,0,4,0,1
APO_048,-38.92014837,143.6190174,20210615,9:58:00,Apollo CMR,Apollo CMR,Yes,0,100,0,0,0,20,0,4,0,1
APO_049,-38.92032968,143.6269818,20210615,10:05:00,Apollo CMR,Apollo CMR,Yes,0,100,0,0,0,20,0,4,0,1
APO_050,-38.9180188,143.6074832,20210615,9:50:00,Apollo CMR,Apollo CMR,Yes,100,0,0.25,0.444261658,18,2,4,0,1,0
