Period,Date,Time,Depth,Location,Site,Status,IUCN,Latitude,Longitude,Camera.model,Organisation,Primary.contact,Secondary.contact,Funder,Grant.no,Observer,Successful.count,Successful.length
F_12,20220422,17:21,79,Franklin AMP,F_12,Fished,IUCN VI,-40.995399,144.267197,GoPro Hero10,IMAS,neville.barrett@utas.edu.au,jacquomo.monk@utas.edu.au,Parks Australia,DMP-MPA-2122-038,Lachlan,Yes,Yes
F_13,20220425,7:40,87,Franklin AMP,F_13,Fished,IUCN VI,-40.725783,144.338764,GoPro Hero10,IMAS,neville.barrett@utas.edu.au,jacquomo.monk@utas.edu.au,Parks Australia,DMP-MPA-2122-038,Lachlan,Yes,Yes
F_14,20220424,8:15,98,Franklin AMP,F_14,Fished,IUCN VI,-40.9413,144.310646,GoPro Hero10,IMAS,neville.barrett@utas.edu.au,jacquomo.monk@utas.edu.au,Parks Australia,DMP-MPA-2122-038,Lachlan,Yes,Yes
F_15,20220429,14:49,49,Franklin AMP,F_15,Fished,IUCN VI,-40.5302,144.380639,GoPro Hero10,IMAS,neville.barrett@utas.edu.au,jacquomo.monk@utas.edu.au,Parks Australia,DMP-MPA-2122-038,Lachlan,Yes,Yes
F_16,20220423,7:57,82,Franklin AMP,F_16,Fished,IUCN VI,-40.979861,144.276634,GoPro Hero10,IMAS,neville.barrett@utas.edu.au,jacquomo.monk@utas.edu.au,Parks Australia,DMP-MPA-2122-038,Lachlan,Yes,Yes
F_17,20220423,12:09,102,Franklin AMP,F_17,Fished,IUCN VI,-40.971806,144.188791,GoPro Hero10,IMAS,neville.barrett@utas.edu.au,jacquomo.monk@utas.edu.au,Parks Australia,DMP-MPA-2122-038,Lachlan,Yes,Yes
F_18,20220427,11:53,86,Franklin AMP,F_18,Fished,IUCN VI,-40.602782,144.290118,GoPro Hero10,IMAS,neville.barrett@utas.edu.au,jacquomo.monk@utas.edu.au,Parks Australia,DMP-MPA-2122-038,Lachlan,Yes,Yes
F_19,20220428,14:19,50,Franklin AMP,F_19,Fished,IUCN VI,-40.533137,144.339677,GoPro Hero10,IMAS,neville.barrett@utas.edu.au,jacquomo.monk@utas.edu.au,Parks Australia,DMP-MPA-2122-038,Lachlan,Yes,Yes
F_20,20220424,15:58,96,Franklin AMP,F_20,Fished,IUCN VI,-40.791395,144.286369,GoPro Hero10,IMAS,neville.barrett@utas.edu.au,jacquomo.monk@utas.edu.au,Parks Australia,DMP-MPA-2122-038,Lachlan,Yes,Yes
F_22,20220429,11:53,46,Franklin AMP,F_22,Fished,IUCN VI,-40.560478,144.369301,GoPro Hero10,IMAS,neville.barrett@utas.edu.au,jacquomo.monk@utas.edu.au,Parks Australia,DMP-MPA-2122-038,Lachlan,Yes,Yes
F_23,20220428,8:42,56,Franklin AMP,F_23,Fished,IUCN VI,-40.539851,144.326188,GoPro Hero10,IMAS,neville.barrett@utas.edu.au,jacquomo.monk@utas.edu.au,Parks Australia,DMP-MPA-2122-038,Lachlan,Yes,Yes
F_24,20220428,17:08,44,Franklin AMP,F_24,Fished,IUCN VI,-40.552847,144.378339,GoPro Hero10,IMAS,neville.barrett@utas.edu.au,jacquomo.monk@utas.edu.au,Parks Australia,DMP-MPA-2122-038,Lachlan,Yes,Yes
F_26,20220427,17:10,65,Franklin AMP,F_26,Fished,IUCN VI,-40.561225,144.342935,GoPro Hero10,IMAS,neville.barrett@utas.edu.au,jacquomo.monk@utas.edu.au,Parks Australia,DMP-MPA-2122-038,Lachlan,Yes,Yes
F_27,20220423,14:31,104,Franklin AMP,F_27,Fished,IUCN VI,-40.941549,144.218701,GoPro Hero10,IMAS,neville.barrett@utas.edu.au,jacquomo.monk@utas.edu.au,Parks Australia,DMP-MPA-2122-038,Lachlan,Yes,Yes
F_28,20220428,12:31,49,Franklin AMP,F_28,Fished,IUCN VI,-40.549721,144.355788,GoPro Hero10,IMAS,neville.barrett@utas.edu.au,jacquomo.monk@utas.edu.au,Parks Australia,DMP-MPA-2122-038,Lachlan,Yes,Yes
F_29,20220423,17:00,109,Franklin AMP,F_29,Fished,IUCN VI,-40.950013,144.244837,GoPro Hero10,IMAS,neville.barrett@utas.edu.au,jacquomo.monk@utas.edu.au,Parks Australia,DMP-MPA-2122-038,Lachlan,Yes,Yes
F_30,20220424,10:47,99,Franklin AMP,F_30,Fished,IUCN VI,-40.895793,144.305844,GoPro Hero10,IMAS,neville.barrett@utas.edu.au,jacquomo.monk@utas.edu.au,Parks Australia,DMP-MPA-2122-038,Lachlan,Yes,Yes
F_31,20220428,16:13,40,Franklin AMP,F_31,Fished,IUCN VI,-40.55504,144.359948,GoPro Hero10,IMAS,neville.barrett@utas.edu.au,jacquomo.monk@utas.edu.au,Parks Australia,DMP-MPA-2122-038,Lachlan,Yes,Yes
F_32,20220425,15:53,90,Franklin AMP,F_32,Fished,IUCN VI,-40.641232,144.262903,GoPro Hero10,IMAS,neville.barrett@utas.edu.au,jacquomo.monk@utas.edu.au,Parks Australia,DMP-MPA-2122-038,Lachlan,Yes,Yes
F_33,20220426,14:01,86,Franklin AMP,F_33,Fished,IUCN VI,-40.604852,144.305398,GoPro Hero10,IMAS,neville.barrett@utas.edu.au,jacquomo.monk@utas.edu.au,Parks Australia,DMP-MPA-2122-038,Lachlan,Yes,Yes
F_34,20220422,17:09,81,Franklin AMP,F_34,Fished,IUCN VI,-40.997058,144.264989,GoPro Hero10,IMAS,neville.barrett@utas.edu.au,jacquomo.monk@utas.edu.au,Parks Australia,DMP-MPA-2122-038,Lachlan,Yes,Yes
F_35,20220428,10:08,54,Franklin AMP,F_35,Fished,IUCN VI,-40.550476,144.333795,GoPro Hero10,IMAS,neville.barrett@utas.edu.au,jacquomo.monk@utas.edu.au,Parks Australia,DMP-MPA-2122-038,Lachlan,Yes,Yes
F_36,20220427,15:36,67,Franklin AMP,F_36,Fished,IUCN VI,-40.58638,144.355762,GoPro Hero10,IMAS,neville.barrett@utas.edu.au,jacquomo.monk@utas.edu.au,Parks Australia,DMP-MPA-2122-038,Lachlan,Yes,Yes
F_37,20220427,16:58,63,Franklin AMP,F_37,Fished,IUCN VI,-40.5624,144.350919,GoPro Hero10,IMAS,neville.barrett@utas.edu.au,jacquomo.monk@utas.edu.au,Parks Australia,DMP-MPA-2122-038,Lachlan,Yes,Yes
F_38,20220426,14:29,84,Franklin AMP,F_38,Fished,IUCN VI,-40.596684,144.302772,GoPro Hero10,IMAS,neville.barrett@utas.edu.au,jacquomo.monk@utas.edu.au,Parks Australia,DMP-MPA-2122-038,Lachlan,Yes,Yes
F_39,20220426,16:02,69,Franklin AMP,F_39,Fished,IUCN VI,-40.57365,144.327086,GoPro Hero10,IMAS,neville.barrett@utas.edu.au,jacquomo.monk@utas.edu.au,Parks Australia,DMP-MPA-2122-038,Lachlan,Yes,Yes
F_40,20220423,11:43,100,Franklin AMP,F_40,Fished,IUCN VI,-40.981184,144.189224,GoPro Hero10,IMAS,neville.barrett@utas.edu.au,jacquomo.monk@utas.edu.au,Parks Australia,DMP-MPA-2122-038,Lachlan,Yes,Yes
F_41,20220423,10:07,88,Franklin AMP,F_41,Fished,IUCN VI,-40.99467,144.259263,GoPro Hero10,IMAS,neville.barrett@utas.edu.au,jacquomo.monk@utas.edu.au,Parks Australia,DMP-MPA-2122-038,Lachlan,Yes,Yes
F_42,20220429,10:02,56,Franklin AMP,F_42,Fished,IUCN VI,-40.555502,144.39217,GoPro Hero10,IMAS,neville.barrett@utas.edu.au,jacquomo.monk@utas.edu.au,Parks Australia,DMP-MPA-2122-038,Lachlan,Yes,Yes
F_43,20220426,8:31,67,Franklin AMP,F_43,Fished,IUCN VI,-40.602305,144.378651,GoPro Hero10,IMAS,neville.barrett@utas.edu.au,jacquomo.monk@utas.edu.au,Parks Australia,DMP-MPA-2122-038,Lachlan,Yes,Yes
F_44,20220424,15:12,98,Franklin AMP,F_44,Fished,IUCN VI,-40.840691,144.314483,GoPro Hero10,IMAS,neville.barrett@utas.edu.au,jacquomo.monk@utas.edu.au,Parks Australia,DMP-MPA-2122-038,Lachlan,Yes,Yes
F_45,20220428,15:30,49,Franklin AMP,F_45,Fished,IUCN VI,-40.54712,144.372068,GoPro Hero10,IMAS,neville.barrett@utas.edu.au,jacquomo.monk@utas.edu.au,Parks Australia,DMP-MPA-2122-038,Lachlan,Yes,Yes
F_46,20220427,13:43,83,Franklin AMP,F_46,Fished,IUCN VI,-40.58046,144.283104,GoPro Hero10,IMAS,neville.barrett@utas.edu.au,jacquomo.monk@utas.edu.au,Parks Australia,DMP-MPA-2122-038,Lachlan,Yes,Yes
F_47,20220425,17:16,90,Franklin AMP,F_47,Fished,IUCN VI,-40.649129,144.303734,GoPro Hero10,IMAS,neville.barrett@utas.edu.au,jacquomo.monk@utas.edu.au,Parks Australia,DMP-MPA-2122-038,Lachlan,Yes,Yes
F_49,20220427,7:54,52,Franklin AMP,F_49,Fished,IUCN VI,-40.531547,144.32156,GoPro Hero10,IMAS,neville.barrett@utas.edu.au,jacquomo.monk@utas.edu.au,Parks Australia,DMP-MPA-2122-038,Lachlan,Yes,Yes
F_50,20220422,16:14,76,Franklin AMP,F_50,Fished,IUCN VI,-40.994424,144.27544,GoPro Hero10,IMAS,neville.barrett@utas.edu.au,jacquomo.monk@utas.edu.au,Parks Australia,DMP-MPA-2122-038,Lachlan,Yes,Yes
F_51,20220424,16:40,97,Franklin AMP,F_51,Fished,IUCN VI,-40.810974,144.249771,GoPro Hero10,IMAS,neville.barrett@utas.edu.au,jacquomo.monk@utas.edu.au,Parks Australia,DMP-MPA-2122-038,Lachlan,Yes,Yes
F_52,20220428,10:20,42,Franklin AMP,F_52,Fished,IUCN VI,-40.5477,144.338392,GoPro Hero10,IMAS,neville.barrett@utas.edu.au,jacquomo.monk@utas.edu.au,Parks Australia,DMP-MPA-2122-038,Lachlan,Yes,Yes
F_53,20220427,13:15,86,Franklin AMP,F_53,Fished,IUCN VI,-40.591515,144.278285,GoPro Hero10,IMAS,neville.barrett@utas.edu.au,jacquomo.monk@utas.edu.au,Parks Australia,DMP-MPA-2122-038,Lachlan,Yes,Yes
F_54,20220428,12:00,44,Franklin AMP,F_54,Fished,IUCN VI,-40.551996,144.352865,GoPro Hero10,IMAS,neville.barrett@utas.edu.au,jacquomo.monk@utas.edu.au,Parks Australia,DMP-MPA-2122-038,Lachlan,Yes,Yes
F_55,20220426,9:25,73,Franklin AMP,F_55,Fished,IUCN VI,-40.599329,144.362696,GoPro Hero10,IMAS,neville.barrett@utas.edu.au,jacquomo.monk@utas.edu.au,Parks Australia,DMP-MPA-2122-038,Lachlan,Yes,Yes
F_57,20220428,8:11,54,Franklin AMP,F_57,Fished,IUCN VI,-40.537195,144.335975,GoPro Hero10,IMAS,neville.barrett@utas.edu.au,jacquomo.monk@utas.edu.au,Parks Australia,DMP-MPA-2122-038,Lachlan,Yes,Yes
F_58,20220424,9:10,100,Franklin AMP,F_58,Fished,IUCN VI,-40.936816,144.280779,GoPro Hero10,IMAS,neville.barrett@utas.edu.au,jacquomo.monk@utas.edu.au,Parks Australia,DMP-MPA-2122-038,Lachlan,Yes,Yes
F_59,20220428,13:50,51,Franklin AMP,F_59,Fished,IUCN VI,-40.54135,144.348207,GoPro Hero10,IMAS,neville.barrett@utas.edu.au,jacquomo.monk@utas.edu.au,Parks Australia,DMP-MPA-2122-038,Lachlan,Yes,Yes
F_60,20220429,15:16,50,Franklin AMP,F_60,Fished,IUCN VI,-40.534517,144.392276,GoPro Hero10,IMAS,neville.barrett@utas.edu.au,jacquomo.monk@utas.edu.au,Parks Australia,DMP-MPA-2122-038,Lachlan,Yes,Yes
F_61,20220429,8:17,63,Franklin AMP,F_61,Fished,IUCN VI,-40.58141,144.378759,GoPro Hero10,IMAS,neville.barrett@utas.edu.au,jacquomo.monk@utas.edu.au,Parks Australia,DMP-MPA-2122-038,Lachlan,Yes,Yes
F_62,20220424,8:44,97,Franklin AMP,F_62,Fished,IUCN VI,-40.943921,144.28417,GoPro Hero10,IMAS,neville.barrett@utas.edu.au,jacquomo.monk@utas.edu.au,Parks Australia,DMP-MPA-2122-038,Lachlan,Yes,Yes
F_63,20220425,7:57,96,Franklin AMP,F_63,Fished,IUCN VI,-40.732558,144.324048,GoPro Hero10,IMAS,neville.barrett@utas.edu.au,jacquomo.monk@utas.edu.au,Parks Australia,DMP-MPA-2122-038,Lachlan,Yes,Yes
F_64,20220424,14:06,99,Franklin AMP,F_64,Fished,IUCN VI,-40.846229,144.225065,GoPro Hero10,IMAS,neville.barrett@utas.edu.au,jacquomo.monk@utas.edu.au,Parks Australia,DMP-MPA-2122-038,Lachlan,Yes,Yes
F_65,20220426,15:52,70,Franklin AMP,F_65,Fished,IUCN VI,-40.575242,144.321943,GoPro Hero10,IMAS,neville.barrett@utas.edu.au,jacquomo.monk@utas.edu.au,Parks Australia,DMP-MPA-2122-038,Lachlan,Yes,Yes
F_66,20220424,9:37,97,Franklin AMP,F_66,Fished,IUCN VI,-40.928347,144.292171,GoPro Hero10,IMAS,neville.barrett@utas.edu.au,jacquomo.monk@utas.edu.au,Parks Australia,DMP-MPA-2122-038,Lachlan,Yes,Yes
F_67,20220427,10:09,77,Franklin AMP,F_67,Fished,IUCN VI,-40.556514,144.276043,GoPro Hero10,IMAS,neville.barrett@utas.edu.au,jacquomo.monk@utas.edu.au,Parks Australia,DMP-MPA-2122-038,Lachlan,Yes,Yes
F_68,20220423,15:18,105,Franklin AMP,F_68,Fished,IUCN VI,-40.932962,144.236163,GoPro Hero10,IMAS,neville.barrett@utas.edu.au,jacquomo.monk@utas.edu.au,Parks Australia,DMP-MPA-2122-038,Lachlan,Yes,Yes
F_69,20220429,9:50,58,Franklin AMP,F_69,Fished,IUCN VI,-40.562514,144.395559,GoPro Hero10,IMAS,neville.barrett@utas.edu.au,jacquomo.monk@utas.edu.au,Parks Australia,DMP-MPA-2122-038,Lachlan,Yes,Yes
F_70,20220422,15:12,78,Franklin AMP,F_70,Fished,IUCN VI,-40.996531,144.292234,GoPro Hero10,IMAS,neville.barrett@utas.edu.au,jacquomo.monk@utas.edu.au,Parks Australia,DMP-MPA-2122-038,Lachlan,Yes,Yes
F_71,20220426,10:20,71,Franklin AMP,F_71,Fished,IUCN VI,-40.609276,144.376251,GoPro Hero10,IMAS,neville.barrett@utas.edu.au,jacquomo.monk@utas.edu.au,Parks Australia,DMP-MPA-2122-038,Lachlan,Yes,Yes
F_72,20220428,13:30,50,Franklin AMP,F_72,Fished,IUCN VI,-40.538008,144.355659,GoPro Hero10,IMAS,neville.barrett@utas.edu.au,jacquomo.monk@utas.edu.au,Parks Australia,DMP-MPA-2122-038,Lachlan,Yes,Yes
F_73,20220428,16:39,45,Franklin AMP,F_73,Fished,IUCN VI,-40.554032,144.367074,GoPro Hero10,IMAS,neville.barrett@utas.edu.au,jacquomo.monk@utas.edu.au,Parks Australia,DMP-MPA-2122-038,Lachlan,Yes,Yes
F_74,20220428,7:52,51,Franklin AMP,F_74,Fished,IUCN VI,-40.533473,144.326914,GoPro Hero10,IMAS,neville.barrett@utas.edu.au,jacquomo.monk@utas.edu.au,Parks Australia,DMP-MPA-2122-038,Lachlan,Yes,Yes
F_75,20220425,16:27,88,Franklin AMP,F_75,Fished,IUCN VI,-40.631495,144.232326,GoPro Hero10,IMAS,neville.barrett@utas.edu.au,jacquomo.monk@utas.edu.au,Parks Australia,DMP-MPA-2122-038,Lachlan,Yes,Yes
F_76,20220427,14:52,75,Franklin AMP,F_76,Fished,IUCN VI,-40.577454,144.304726,GoPro Hero10,IMAS,neville.barrett@utas.edu.au,jacquomo.monk@utas.edu.au,Parks Australia,DMP-MPA-2122-038,Lachlan,Yes,Yes
F_77,20220428,10:48,45,Franklin AMP,F_77,Fished,IUCN VI,-40.554779,144.34071,GoPro Hero10,IMAS,neville.barrett@utas.edu.au,jacquomo.monk@utas.edu.au,Parks Australia,DMP-MPA-2122-038,Lachlan,Yes,Yes
F_78,20220424,10:22,103,Franklin AMP,F_78,Fished,IUCN VI,-40.906926,144.269896,GoPro Hero10,IMAS,neville.barrett@utas.edu.au,jacquomo.monk@utas.edu.au,Parks Australia,DMP-MPA-2122-038,Lachlan,Yes,Yes
F_79,20220426,15:04,79,Franklin AMP,F_79,Fished,IUCN VI,-40.593339,144.309996,GoPro Hero10,IMAS,neville.barrett@utas.edu.au,jacquomo.monk@utas.edu.au,Parks Australia,DMP-MPA-2122-038,Lachlan,Yes,Yes
F_80,20220429,14:28,49,Franklin AMP,F_80,Fished,IUCN VI,-40.536038,144.383835,GoPro Hero10,IMAS,neville.barrett@utas.edu.au,jacquomo.monk@utas.edu.au,Parks Australia,DMP-MPA-2122-038,Lachlan,Yes,Yes
F_81,20220425,15:32,90,Franklin AMP,F_81,Fished,IUCN VI,-40.6613,144.273556,GoPro Hero10,IMAS,neville.barrett@utas.edu.au,jacquomo.monk@utas.edu.au,Parks Australia,DMP-MPA-2122-038,Lachlan,Yes,Yes
F_82,20220428,8:32,55,Franklin AMP,F_82,Fished,IUCN VI,-40.538793,144.331071,GoPro Hero10,IMAS,neville.barrett@utas.edu.au,jacquomo.monk@utas.edu.au,Parks Australia,DMP-MPA-2122-038,Lachlan,Yes,Yes
F_83,20220426,15:28,79,Franklin AMP,F_83,Fished,IUCN VI,-40.585678,144.31751,GoPro Hero10,IMAS,neville.barrett@utas.edu.au,jacquomo.monk@utas.edu.au,Parks Australia,DMP-MPA-2122-038,Lachlan,Yes,Yes
F_84,20220428,15:48,48,Franklin AMP,F_84,Fished,IUCN VI,-40.550423,144.362846,GoPro Hero10,IMAS,neville.barrett@utas.edu.au,jacquomo.monk@utas.edu.au,Parks Australia,DMP-MPA-2122-038,Lachlan,Yes,Yes
F_85,20220429,15:58,49,Franklin AMP,F_85,Fished,IUCN VI,-40.543385,144.398072,GoPro Hero10,IMAS,neville.barrett@utas.edu.au,jacquomo.monk@utas.edu.au,Parks Australia,DMP-MPA-2122-038,Lachlan,Yes,Yes
F_86,20220427,7:42,64,Franklin AMP,F_86,Fished,IUCN VI,-40.529744,144.317618,GoPro Hero10,IMAS,neville.barrett@utas.edu.au,jacquomo.monk@utas.edu.au,Parks Australia,DMP-MPA-2122-038,Lachlan,Yes,Yes
F_87,20220428,9:57,44,Franklin AMP,F_87,Fished,IUCN VI,-40.545897,144.334449,GoPro Hero10,IMAS,neville.barrett@utas.edu.au,jacquomo.monk@utas.edu.au,Parks Australia,DMP-MPA-2122-038,Lachlan,Yes,Yes
F_88,20220427,15:48,67,Franklin AMP,F_88,Fished,IUCN VI,-40.581711,144.356418,GoPro Hero10,IMAS,neville.barrett@utas.edu.au,jacquomo.monk@utas.edu.au,Parks Australia,DMP-MPA-2122-038,Lachlan,Yes,Yes
F_89,20220425,16:55,90,Franklin AMP,F_89,Fished,IUCN VI,-40.63635,144.281193,GoPro Hero10,IMAS,neville.barrett@utas.edu.au,jacquomo.monk@utas.edu.au,Parks Australia,DMP-MPA-2122-038,Lachlan,Yes,Yes
F_90,20220422,15:26,80,Franklin AMP,F_90,Fished,IUCN VI,-40.998129,144.287413,GoPro Hero10,IMAS,neville.barrett@utas.edu.au,jacquomo.monk@utas.edu.au,Parks Australia,DMP-MPA-2122-038,Lachlan,Yes,Yes
F_91,20220425,14:33,91,Franklin AMP,F_91,Fished,IUCN VI,-40.695913,144.225518,GoPro Hero10,IMAS,neville.barrett@utas.edu.au,jacquomo.monk@utas.edu.au,Parks Australia,DMP-MPA-2122-038,Lachlan,Yes,Yes
F_93,20220428,17:46,45,Franklin AMP,F_93,Fished,IUCN VI,-40.561199,144.373288,GoPro Hero10,IMAS,neville.barrett@utas.edu.au,jacquomo.monk@utas.edu.au,Parks Australia,DMP-MPA-2122-038,Lachlan,Yes,Yes
F_94,20220423,9:02,92,Franklin AMP,F_94,Fished,IUCN VI,-40.971874,144.285519,GoPro Hero10,IMAS,neville.barrett@utas.edu.au,jacquomo.monk@utas.edu.au,Parks Australia,DMP-MPA-2122-038,Lachlan,Yes,Yes
F_95,20220427,16:21,71,Franklin AMP,F_95,Fished,IUCN VI,-40.576259,144.346474,GoPro Hero10,IMAS,neville.barrett@utas.edu.au,jacquomo.monk@utas.edu.au,Parks Australia,DMP-MPA-2122-038,Lachlan,Yes,Yes
F_96,20220428,8:50,57,Franklin AMP,F_96,Fished,IUCN VI,-40.540353,144.324515,GoPro Hero10,IMAS,neville.barrett@utas.edu.au,jacquomo.monk@utas.edu.au,Parks Australia,DMP-MPA-2122-038,Lachlan,Yes,Yes
F_97,20220429,8:55,60,Franklin AMP,F_97,Fished,IUCN VI,-40.569497,144.393635,GoPro Hero10,IMAS,neville.barrett@utas.edu.au,jacquomo.monk@utas.edu.au,Parks Australia,DMP-MPA-2122-038,Lachlan,Yes,Yes
F_98,20220429,13:41,51,Franklin AMP,F_98,Fished,IUCN VI,-40.545517,144.388779,GoPro Hero10,IMAS,neville.barrett@utas.edu.au,jacquomo.monk@utas.edu.au,Parks Australia,DMP-MPA-2122-038,Lachlan,Yes,Yes
F_99,20220423,9:49,87,Franklin AMP,F_99,Fished,IUCN VI,-40.978952,144.264905,GoPro Hero10,IMAS,neville.barrett@utas.edu.au,jacquomo.monk@utas.edu.au,Parks Australia,DMP-MPA-2122-038,Lachlan,Yes,Yes
F_100,20220427,12:07,87,Franklin AMP,F_100,Fished,IUCN VI,-40.602014,144.28424,GoPro Hero10,IMAS,neville.barrett@utas.edu.au,jacquomo.monk@utas.edu.au,Parks Australia,DMP-MPA-2122-038,Lachlan,Yes,Yes
F_101,20220425,8:17,94,Franklin AMP,F_101,Fished,IUCN VI,-40.743839,144.294108,GoPro Hero10,IMAS,neville.barrett@utas.edu.au,jacquomo.monk@utas.edu.au,Parks Australia,DMP-MPA-2122-038,Lachlan,Yes,Yes
F_102,20220428,13:40,49,Franklin AMP,F_102,Fished,IUCN VI,-40.536733,144.351105,GoPro Hero10,IMAS,neville.barrett@utas.edu.au,jacquomo.monk@utas.edu.au,Parks Australia,DMP-MPA-2122-038,Lachlan,Yes,Yes
F_103,20220428,9:19,60,Franklin AMP,F_103,Fished,IUCN VI,-40.547983,144.327281,GoPro Hero10,IMAS,neville.barrett@utas.edu.au,jacquomo.monk@utas.edu.au,Parks Australia,DMP-MPA-2122-038,Lachlan,Yes,Yes
F_104,20220426,13:42,82,Franklin AMP,F_104,Fished,IUCN VI,-40.61092,144.326192,GoPro Hero10,IMAS,neville.barrett@utas.edu.au,jacquomo.monk@utas.edu.au,Parks Australia,DMP-MPA-2122-038,Lachlan,Yes,Yes
F_105,20220423,15:45,104,Franklin AMP,F_105,Fished,IUCN VI,-40.92142,144.239376,GoPro Hero10,IMAS,neville.barrett@utas.edu.au,jacquomo.monk@utas.edu.au,Parks Australia,DMP-MPA-2122-038,Lachlan,Yes,Yes
F_106,20220426,8:43,58,Franklin AMP,F_106,Fished,IUCN VI,-40.597729,144.379421,GoPro Hero10,IMAS,neville.barrett@utas.edu.au,jacquomo.monk@utas.edu.au,Parks Australia,DMP-MPA-2122-038,Lachlan,Yes,Yes
F_107,20220425,11:54,82,Franklin AMP,F_107,Fished,IUCN VI,-40.683387,144.343884,GoPro Hero10,IMAS,neville.barrett@utas.edu.au,jacquomo.monk@utas.edu.au,Parks Australia,DMP-MPA-2122-038,Lachlan,Yes,Yes
F_108,20220427,14:40,74,Franklin AMP,F_108,Fished,IUCN VI,-40.576204,144.30135,GoPro Hero10,IMAS,neville.barrett@utas.edu.au,jacquomo.monk@utas.edu.au,Parks Australia,DMP-MPA-2122-038,Lachlan,Yes,Yes
F_109,20220428,15:19,50,Franklin AMP,F_109,Fished,IUCN VI,-40.542541,144.372719,GoPro Hero10,IMAS,neville.barrett@utas.edu.au,jacquomo.monk@utas.edu.au,Parks Australia,DMP-MPA-2122-038,Lachlan,Yes,Yes
F_110,20220423,8:35,90,Franklin AMP,F_110,Fished,IUCN VI,-40.977139,144.298732,GoPro Hero10,IMAS,neville.barrett@utas.edu.au,jacquomo.monk@utas.edu.au,Parks Australia,DMP-MPA-2122-038,Lachlan,Yes,Yes
F_111,20220427,17:19,46,Franklin AMP,F_111,Fished,IUCN VI,-40.557549,144.34367,GoPro Hero10,IMAS,neville.barrett@utas.edu.au,jacquomo.monk@utas.edu.au,Parks Australia,DMP-MPA-2122-038,Lachlan,Yes,Yes
F_112,20220426,17:47,68,Franklin AMP,F_112,Fished,IUCN VI,-40.544949,144.3091,GoPro Hero10,IMAS,neville.barrett@utas.edu.au,jacquomo.monk@utas.edu.au,Parks Australia,DMP-MPA-2122-038,Lachlan,Yes,Yes
